date,icao,lat,lon,temperature,weather_type
2022-04-15,EG-0006,30.329104,32.266932,,
2022-04-16,EG-0006,30.329104,32.266932,,
2022-04-17,EG-0006,30.329104,32.266932,,
2022-04-18,EG-0006,30.329104,32.266932,,
2022-04-19,EG-0006,30.329104,32.266932,,
2022-04-20,EG-0006,30.329104,32.266932,,
2022-04-21,EG-0006,30.329104,32.266932,,
2022-04-22,EG-0006,30.329104,32.266932,,
2022-04-23,EG-0006,30.329104,32.266932,,
2022-04-24,EG-0006,30.329104,32.266932,,
2022-04-25,EG-0006,30.329104,32.266932,,
2022-04-26,EG-0006,30.329104,32.266932,,
2022-04-27,EG-0006,30.329104,32.266932,,
2022-04-28,EG-0006,30.329104,32.266932,,
2022-04-29,EG-0006,30.329104,32.266932,,
2022-04-30,EG-0006,30.329104,32.266932,,
2022-05-01,EG-0006,30.329104,32.266932,,
2022-05-02,EG-0006,30.329104,32.266932,,
2022-05-03,EG-0006,30.329104,32.266932,,
2022-05-04,EG-0006,30.329104,32.266932,,
2022-05-05,EG-0006,30.329104,32.266932,,
2022-05-06,EG-0006,30.329104,32.266932,,
2022-05-07,EG-0006,30.329104,32.266932,,
2022-05-08,EG-0006,30.329104,32.266932,,
2022-05-09,EG-0006,30.329104,32.266932,,
2022-05-10,EG-0006,30.329104,32.266932,,
2022-05-11,EG-0006,30.329104,32.266932,,
2022-05-12,EG-0006,30.329104,32.266932,,
2022-05-13,EG-0006,30.329104,32.266932,,
2022-05-14,EG-0006,30.329104,32.266932,,
2022-05-15,EG-0006,30.329104,32.266932,,
2022-05-16,EG-0006,30.329104,32.266932,,
2022-05-17,EG-0006,30.329104,32.266932,,
2022-05-18,EG-0006,30.329104,32.266932,,
2022-05-19,EG-0006,30.329104,32.266932,,
2022-05-20,EG-0006,30.329104,32.266932,,
2022-05-21,EG-0006,30.329104,32.266932,,
2022-05-22,EG-0006,30.329104,32.266932,,
2022-05-23,EG-0006,30.329104,32.266932,,
2022-05-24,EG-0006,30.329104,32.266932,,
2022-05-25,EG-0006,30.329104,32.266932,,
2022-05-26,EG-0006,30.329104,32.266932,,
2022-05-27,EG-0006,30.329104,32.266932,,
2022-05-28,EG-0006,30.329104,32.266932,,
2022-05-29,EG-0006,30.329104,32.266932,,
2022-05-30,EG-0006,30.329104,32.266932,,
2022-05-31,EG-0006,30.329104,32.266932,,
2022-06-01,EG-0006,30.329104,32.266932,,
2022-06-02,EG-0006,30.329104,32.266932,,
2022-06-03,EG-0006,30.329104,32.266932,,
2022-06-04,EG-0006,30.329104,32.266932,,
2022-06-05,EG-0006,30.329104,32.266932,,
2022-06-06,EG-0006,30.329104,32.266932,,
2022-06-07,EG-0006,30.329104,32.266932,,
2022-06-08,EG-0006,30.329104,32.266932,,
2022-06-09,EG-0006,30.329104,32.266932,,
2022-06-10,EG-0006,30.329104,32.266932,,
2022-06-11,EG-0006,30.329104,32.266932,,
2022-06-12,EG-0006,30.329104,32.266932,,
2022-06-13,EG-0006,30.329104,32.266932,,
2022-06-14,EG-0006,30.329104,32.266932,,
2022-06-15,EG-0006,30.329104,32.266932,,
2022-06-16,EG-0006,30.329104,32.266932,,
2022-06-17,EG-0006,30.329104,32.266932,,
2022-06-18,EG-0006,30.329104,32.266932,,
2022-06-19,EG-0006,30.329104,32.266932,,
2022-06-20,EG-0006,30.329104,32.266932,,
2022-06-21,EG-0006,30.329104,32.266932,,
2022-06-22,EG-0006,30.329104,32.266932,,
2022-06-23,EG-0006,30.329104,32.266932,,
2022-06-24,EG-0006,30.329104,32.266932,,
2022-06-25,EG-0006,30.329104,32.266932,,
2022-06-26,EG-0006,30.329104,32.266932,,
2022-06-27,EG-0006,30.329104,32.266932,,
2022-06-28,EG-0006,30.329104,32.266932,,
2022-06-29,EG-0006,30.329104,32.266932,,
2022-06-30,EG-0006,30.329104,32.266932,,
2022-07-01,EG-0006,30.329104,32.266932,,
2022-07-02,EG-0006,30.329104,32.266932,,
2022-07-03,EG-0006,30.329104,32.266932,,
2022-07-04,EG-0006,30.329104,32.266932,,
2022-07-05,EG-0006,30.329104,32.266932,,
2022-07-06,EG-0006,30.329104,32.266932,,
2022-07-07,EG-0006,30.329104,32.266932,,
2022-07-08,EG-0006,30.329104,32.266932,,
2022-07-09,EG-0006,30.329104,32.266932,,
2022-07-10,EG-0006,30.329104,32.266932,,
2022-07-11,EG-0006,30.329104,32.266932,,
2022-07-12,EG-0006,30.329104,32.266932,,
2022-07-13,EG-0006,30.329104,32.266932,,
2022-07-14,EG-0006,30.329104,32.266932,,
2022-07-15,EG-0006,30.329104,32.266932,,
2022-07-16,EG-0006,30.329104,32.266932,,
2022-07-17,EG-0006,30.329104,32.266932,,
2022-07-18,EG-0006,30.329104,32.266932,,
2022-07-19,EG-0006,30.329104,32.266932,,
2022-07-20,EG-0006,30.329104,32.266932,,
2022-07-21,EG-0006,30.329104,32.266932,,
2022-07-22,EG-0006,30.329104,32.266932,,
2022-07-23,EG-0006,30.329104,32.266932,,
2022-07-24,EG-0006,30.329104,32.266932,,
2022-07-25,EG-0006,30.329104,32.266932,,
2022-07-26,EG-0006,30.329104,32.266932,,
2022-07-27,EG-0006,30.329104,32.266932,,
2022-07-28,EG-0006,30.329104,32.266932,,
2022-07-29,EG-0006,30.329104,32.266932,,
2022-07-30,EG-0006,30.329104,32.266932,,
2022-07-31,EG-0006,30.329104,32.266932,,
2022-08-01,EG-0006,30.329104,32.266932,,
2022-08-02,EG-0006,30.329104,32.266932,,
2022-08-03,EG-0006,30.329104,32.266932,,
2022-08-04,EG-0006,30.329104,32.266932,,
2022-08-05,EG-0006,30.329104,32.266932,,
2022-08-06,EG-0006,30.329104,32.266932,,
2022-08-07,EG-0006,30.329104,32.266932,,
2022-08-08,EG-0006,30.329104,32.266932,,
2022-08-09,EG-0006,30.329104,32.266932,,
2022-08-10,EG-0006,30.329104,32.266932,,
2022-08-11,EG-0006,30.329104,32.266932,,
2022-08-12,EG-0006,30.329104,32.266932,,
2022-08-13,EG-0006,30.329104,32.266932,,
2022-08-14,EG-0006,30.329104,32.266932,,
2022-08-15,EG-0006,30.329104,32.266932,,
2022-08-16,EG-0006,30.329104,32.266932,,
2022-08-17,EG-0006,30.329104,32.266932,,
2022-08-18,EG-0006,30.329104,32.266932,,
2022-08-19,EG-0006,30.329104,32.266932,,
2022-08-20,EG-0006,30.329104,32.266932,,
2022-08-21,EG-0006,30.329104,32.266932,,
2022-08-22,EG-0006,30.329104,32.266932,,
2022-08-23,EG-0006,30.329104,32.266932,,
2022-08-24,EG-0006,30.329104,32.266932,,
2022-08-25,EG-0006,30.329104,32.266932,,
2022-08-26,EG-0006,30.329104,32.266932,,
2022-08-27,EG-0006,30.329104,32.266932,,
2022-08-28,EG-0006,30.329104,32.266932,,
2022-08-29,EG-0006,30.329104,32.266932,,
2022-08-30,EG-0006,30.329104,32.266932,,
2022-08-31,EG-0006,30.329104,32.266932,,
2022-09-01,EG-0006,30.329104,32.266932,,
2022-09-02,EG-0006,30.329104,32.266932,,
2022-09-03,EG-0006,30.329104,32.266932,,
2022-09-04,EG-0006,30.329104,32.266932,,
2022-09-05,EG-0006,30.329104,32.266932,,
2022-09-06,EG-0006,30.329104,32.266932,,
2022-09-07,EG-0006,30.329104,32.266932,,
2022-09-08,EG-0006,30.329104,32.266932,,
2022-09-09,EG-0006,30.329104,32.266932,,
2022-09-10,EG-0006,30.329104,32.266932,,
2022-09-11,EG-0006,30.329104,32.266932,,
2022-09-12,EG-0006,30.329104,32.266932,,
2022-09-13,EG-0006,30.329104,32.266932,,
2022-09-14,EG-0006,30.329104,32.266932,,
2022-09-15,EG-0006,30.329104,32.266932,,
2022-09-16,EG-0006,30.329104,32.266932,,
2022-09-17,EG-0006,30.329104,32.266932,,
2022-09-18,EG-0006,30.329104,32.266932,,
2022-09-19,EG-0006,30.329104,32.266932,,
2022-09-20,EG-0006,30.329104,32.266932,,
2022-09-21,EG-0006,30.329104,32.266932,,
2022-09-22,EG-0006,30.329104,32.266932,,
2022-09-23,EG-0006,30.329104,32.266932,,
2022-09-24,EG-0006,30.329104,32.266932,,
2022-09-25,EG-0006,30.329104,32.266932,,
2022-09-26,EG-0006,30.329104,32.266932,,
2022-09-27,EG-0006,30.329104,32.266932,,
2022-09-28,EG-0006,30.329104,32.266932,,
2022-09-29,EG-0006,30.329104,32.266932,,
2022-09-30,EG-0006,30.329104,32.266932,,
2022-10-01,EG-0006,30.329104,32.266932,,
2022-10-02,EG-0006,30.329104,32.266932,,
2022-10-03,EG-0006,30.329104,32.266932,,
2022-10-04,EG-0006,30.329104,32.266932,,
2022-10-05,EG-0006,30.329104,32.266932,,
2022-10-06,EG-0006,30.329104,32.266932,,
2022-10-07,EG-0006,30.329104,32.266932,,
2022-10-08,EG-0006,30.329104,32.266932,,
2022-10-09,EG-0006,30.329104,32.266932,,
2022-10-10,EG-0006,30.329104,32.266932,,
2022-10-11,EG-0006,30.329104,32.266932,,
2022-10-12,EG-0006,30.329104,32.266932,,
2022-10-13,EG-0006,30.329104,32.266932,,
2022-10-14,EG-0006,30.329104,32.266932,,
2022-10-15,EG-0006,30.329104,32.266932,,
2022-10-16,EG-0006,30.329104,32.266932,,
2022-10-17,EG-0006,30.329104,32.266932,,
2022-10-18,EG-0006,30.329104,32.266932,,
2022-10-19,EG-0006,30.329104,32.266932,,
2022-10-20,EG-0006,30.329104,32.266932,,
2022-10-21,EG-0006,30.329104,32.266932,,
2022-10-22,EG-0006,30.329104,32.266932,,
2022-10-23,EG-0006,30.329104,32.266932,,
2022-10-24,EG-0006,30.329104,32.266932,,
2022-10-25,EG-0006,30.329104,32.266932,,
2022-10-26,EG-0006,30.329104,32.266932,,
2022-10-27,EG-0006,30.329104,32.266932,,
2022-10-28,EG-0006,30.329104,32.266932,,
2022-10-29,EG-0006,30.329104,32.266932,,
2022-10-30,EG-0006,30.329104,32.266932,,
2022-10-31,EG-0006,30.329104,32.266932,,
2022-11-01,EG-0006,30.329104,32.266932,,
2022-11-02,EG-0006,30.329104,32.266932,,
2022-11-03,EG-0006,30.329104,32.266932,,
2022-11-04,EG-0006,30.329104,32.266932,,
2022-11-05,EG-0006,30.329104,32.266932,,
2022-11-06,EG-0006,30.329104,32.266932,,
2022-11-07,EG-0006,30.329104,32.266932,,
2022-11-08,EG-0006,30.329104,32.266932,,
2022-11-09,EG-0006,30.329104,32.266932,,
2022-11-10,EG-0006,30.329104,32.266932,,
2022-11-11,EG-0006,30.329104,32.266932,,
2022-11-12,EG-0006,30.329104,32.266932,,
2022-11-13,EG-0006,30.329104,32.266932,,
2022-11-14,EG-0006,30.329104,32.266932,,
2022-11-15,EG-0006,30.329104,32.266932,,
2022-11-16,EG-0006,30.329104,32.266932,,
2022-11-17,EG-0006,30.329104,32.266932,,
2022-11-18,EG-0006,30.329104,32.266932,,
2022-11-19,EG-0006,30.329104,32.266932,,
2022-11-20,EG-0006,30.329104,32.266932,,
2022-11-21,EG-0006,30.329104,32.266932,,
2022-11-22,EG-0006,30.329104,32.266932,,
2022-11-23,EG-0006,30.329104,32.266932,,
2022-11-24,EG-0006,30.329104,32.266932,,
2022-11-25,EG-0006,30.329104,32.266932,,
2022-11-26,EG-0006,30.329104,32.266932,,
2022-11-27,EG-0006,30.329104,32.266932,,
2022-11-28,EG-0006,30.329104,32.266932,,
2022-11-29,EG-0006,30.329104,32.266932,,
2022-11-30,EG-0006,30.329104,32.266932,,
2022-12-01,EG-0006,30.329104,32.266932,,
2022-12-02,EG-0006,30.329104,32.266932,,
2022-12-03,EG-0006,30.329104,32.266932,,
2022-12-04,EG-0006,30.329104,32.266932,,
2022-12-05,EG-0006,30.329104,32.266932,,
2022-12-06,EG-0006,30.329104,32.266932,,
