station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,cs_24hr_sun_dur,wmo_24hr_sun_dur,conc_state_id,lying_snow_flag,snow_depth,frsh_snw_amt,snow_day_id,hail_day_id,thunder_day_flag,gale_day_flag,frsh_mnt_snwfall_flag,drv_24hr_sun_dur,lying_snow_ht,prcp_amt,meto_stmp_time
"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Partially Overcast,6.425806451612903,1.1290322580645162,-0.35161290322580646,,1.5612903225806452,,,,,,,,,,,,,1.7999999999999998,
"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Sunny,5.060714285714285,-1.917857142857143,-3.7178571428571425,,4.225,,,,,,,,,,,,,0.9214285714285715,
"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Sunny,7.22258064516129,-0.8483870967741935,-1.9870967741935484,,4.377419354838709,,,,,,,,,,,,,1.0548387096774192,
"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Sunny,10.633333333333333,-0.38333333333333336,-2.4433333333333334,,6.693333333333333,,,,,,,,,,,,,0.6466666666666666,
"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cool,Sunny,11.925806451612903,4.187096774193549,3.903225806451613,,3.635483870967742,,,,,,,,,,,,,4.593548387096774,
"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Mild,Sunny,16.723333333333333,7.8966666666666665,7.373333333333333,,5.036666666666666,,,,,,,,,,,,,1.5799999999999998,
"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Mild,Sunny,18.51290322580645,8.719354838709679,7.487096774193549,,6.996774193548387,,,,,,,,,,,,,0.5451612903225806,
"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Mild,Sunny,18.835483870967742,9.606451612903227,8.8,,5.309677419354839,,,,,,,,,,,,,4.070967741935484,
"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Mild,Sunny,17.6,7.3100000000000005,5.88,,6.206666666666666,,,,,,,,,,,,,0.46666666666666673,
"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cool,Partially Overcast,12.30967741935484,6.148387096774194,3.2419354838709675,,2.735483870967742,,,,,,,,,,,,,4.012903225806451,
"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cool,Partially Overcast,9.870000000000001,4.53,1.7966666666666669,,1.7366666666666668,,,,,,,,,,,,,2.8666666666666667,
"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast,4.729032258064516,-0.23870967741935484,-2.7419354838709675,,1.8225806451612903,,,,,,,,,,,,,2.509677419354839,
DURHAM,54.768,-1.586,Drizzle,Cool,Partially Overcast,6.641935483870968,2.129032258064516,,,1.3129032258064517,,,,,,,,,,,,,1.8612903225806452,
DURHAM,54.768,-1.586,Dry,Cool,Sunny,5.482142857142857,-0.9178571428571428,,,3.685714285714286,,,,,,,,,,,,,0.9642857142857143,
DURHAM,54.768,-1.586,Drizzle,Cool,Sunny,7.516129032258065,0.8064516129032256,,,4.283870967741936,,,,,,,,,,,,,1.103225806451613,
DURHAM,54.768,-1.586,Dry,Cool,Sunny,11.693333333333333,0.15999999999999998,,,6.516666666666667,,,,,,,,,,,,,0.7366666666666667,
DURHAM,54.768,-1.586,Mild Rain,Cool,Sunny,12.316129032258065,5.603225806451612,,,3.4612903225806453,,,,,,,,,,,,,2.9838709677419355,
DURHAM,54.768,-1.586,Dry,Mild,Sunny,18.0,8.783333333333333,,,6.47,,,,,,,,,,,,,0.7733333333333333,
DURHAM,54.768,-1.586,Dry,Mild,Sunny,19.65806451612903,9.725806451612904,,,6.835483870967742,,,,,,,,,,,,,0.42903225806451617,
DURHAM,54.768,-1.586,Mild Rain,Mild,Sunny,19.76774193548387,11.058064516129033,,,5.041935483870968,,,,,,,,,,,,,2.796774193548387,
DURHAM,54.768,-1.586,Dry,Mild,Sunny,17.976666666666667,8.036666666666667,,,5.4366666666666665,,,,,,,,,,,,,0.38999999999999996,
DURHAM,54.768,-1.586,Mild Rain,Cool,Partially Overcast,12.94516129032258,6.490322580645161,,,2.3193548387096774,,,,,,,,,,,,,3.596774193548387,
DURHAM,54.768,-1.586,Drizzle,Cool,Partially Overcast,9.553333333333335,4.613333333333333,,,1.3033333333333335,,,,,,,,,,,,,2.466666666666667,
DURHAM,54.768,-1.586,Drizzle,Cool,Partially Overcast,5.396774193548388,-0.12580645161290324,,,1.564516129032258,,,,,,,,,,,,,1.5935483870967742,
HULL,53.756,-0.358,Dry,Cool,Partially Overcast,7.383870967741935,2.574193548387097,-0.3741935483870968,,0.2064516129032258,,,,,,,,,,,,,0.0,
HULL,53.756,-0.358,,Cool,Partially Overcast,6.114285714285715,0.014285714285714271,-3.5928571428571425,,1.6035714285714284,,,,,,,,,,,,,,
HULL,53.756,-0.358,,Cool,Partially Overcast,8.654838709677419,1.267741935483871,-1.4580645161290322,,2.735483870967742,,,,,,,,,,,,,,
HULL,53.756,-0.358,,Cool,Sunny,12.246666666666668,1.13,-1.9666666666666666,,4.716666666666667,,,,,,,,,,,,,,
HULL,53.756,-0.358,,Cool,Partially Overcast,14.190322580645162,6.603225806451612,4.016129032258065,,2.693548387096774,,,,,,,,,,,,,,
HULL,53.756,-0.358,,Mild,Sunny,18.533333333333335,8.889999999999999,6.989999999999999,,5.28,,,,,,,,,,,,,,
HULL,53.756,-0.358,,Mild,Sunny,20.596774193548388,11.019354838709678,8.470967741935485,,5.906451612903226,,,,,,,,,,,,,,
HULL,53.756,-0.358,,Mild,Sunny,21.706451612903226,11.990322580645161,8.470967741935485,,4.825806451612903,,,,,,,,,,,,,,
HULL,53.756,-0.358,,Mild,Sunny,19.709999999999997,8.81,5.166666666666667,,4.64,,,,,,,,,,,,,,
HULL,53.756,-0.358,,Cool,Partially Overcast,14.819354838709677,7.796774193548386,4.254838709677419,,2.332258064516129,,,,,,,,,,,,,,
HULL,53.756,-0.358,,Cool,Partially Overcast,10.21,5.026666666666667,1.7833333333333334,,0.51,,,,,,,,,,,,,,
HULL,53.756,-0.358,,Cool,Partially Overcast,5.841935483870968,0.1258064516129032,-3.4225806451612906,,0.8129032258064516,,,,,,,,,,,,,,
SKEGNESS,53.148,0.346,Drizzle,Cool,Partially Overcast,7.403225806451613,2.4064516129032256,,,2.196774193548387,,,,,,,,,,,,,2.274193548387097,
