station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,cs_24hr_sun_dur,wmo_24hr_sun_dur,conc_state_id,lying_snow_flag,snow_depth,frsh_snw_amt,snow_day_id,hail_day_id,thunder_day_flag,gale_day_flag,frsh_mnt_snwfall_flag,drv_24hr_sun_dur,lying_snow_ht,prcp_amt,meto_stmp_time
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast,5.574193548387097,1.4129032258064516,,,0.7225806451612903,,,,,,,,,,,,,2.570967741935484,
BALTASOUND,60.759,-0.888,Drizzle,Cool,Partially Overcast,5.278571428571429,1.3571428571428572,,,1.2107142857142856,,,,,,,,,,,,,1.3928571428571428,
BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast,8.919354838709678,4.767741935483872,,,1.832258064516129,,,,,,,,,,,,,0.7903225806451613,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny,8.25,2.9966666666666666,,,4.1866666666666665,,,,,,,,,,,,,2.6566666666666667,
BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny,11.503225806451614,6.103225806451613,,,5.641935483870968,,,,,,,,,,,,,1.8225806451612903,
BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny,12.2,6.556666666666667,,,5.496666666666667,,,,,,,,,,,,,2.3033333333333337,
BALTASOUND,60.759,-0.888,Dry,Cool,Sunny,14.293548387096775,9.451612903225806,,,4.883870967741935,,,,,,,,,,,,,0.8354838709677419,
BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny,13.935483870967742,9.154838709677419,,,4.183870967741935,,,,,,,,,,,,,2.332258064516129,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast,13.273333333333333,8.6,,,2.5566666666666666,,,,,,,,,,,,,3.5133333333333336,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast,9.841935483870968,4.858064516129032,,,2.0483870967741935,,,,,,,,,,,,,6.116129032258065,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast,8.38,4.3100000000000005,,,1.0166666666666666,,,,,,,,,,,,,5.4,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast,7.364516129032259,2.967741935483871,,,0.27741935483870966,,,,,,,,,,,,,5.174193548387097,
FORTROSE,57.574,-4.093,Dry,Cold,Partially Overcast,3.738709677419355,-0.7354838709677419,,,1.9774193548387096,,,,,,,,,,,,,0.5064516129032258,
FORTROSE,57.574,-4.093,Dry,Cool,Partially Overcast,5.014285714285714,-0.11428571428571425,,,2.8964285714285714,,,,,,,,,,,,,0.2357142857142857,
FORTROSE,57.574,-4.093,Dry,Cool,Sunny,11.0,2.7225806451612904,,,5.980645161290322,,,,,,,,,,,,,0.132258064516129,
FORTROSE,57.574,-4.093,Drizzle,Cool,Sunny,10.29,2.61,,,6.206666666666666,,,,,,,,,,,,,1.18,
FORTROSE,57.574,-4.093,Drizzle,Cool,Sunny,14.312903225806451,6.312903225806451,,,5.54516129032258,,,,,,,,,,,,,1.4193548387096775,
FORTROSE,57.574,-4.093,Drizzle,Mild,Sunny,15.303333333333335,8.013333333333334,,,5.756666666666666,,,,,,,,,,,,,1.2566666666666668,
FORTROSE,57.574,-4.093,Drizzle,Mild,Sunny,18.561290322580643,10.606451612903227,,,4.464516129032258,,,,,,,,,,,,,1.4225806451612903,
FORTROSE,57.574,-4.093,Mild Rain,Mild,Sunny,16.816129032258065,10.106451612903227,,,3.703225806451613,,,,,,,,,,,,,2.7903225806451615,
FORTROSE,57.574,-4.093,Drizzle,Mild,Sunny,16.296666666666667,9.406666666666666,,,3.6166666666666667,,,,,,,,,,,,,1.5633333333333332,
FORTROSE,57.574,-4.093,Mild Rain,Cool,Partially Overcast,11.212903225806452,5.209677419354839,,,2.6774193548387095,,,,,,,,,,,,,2.5032258064516126,
FORTROSE,57.574,-4.093,Drizzle,Cool,Partially Overcast,8.376666666666667,3.0133333333333336,,,2.1733333333333333,,,,,,,,,,,,,1.18,
FORTROSE,57.574,-4.093,Drizzle,Cool,Partially Overcast,7.287096774193548,2.5064516129032257,,,1.667741935483871,,,,,,,,,,,,,1.796774193548387,
ONICH,56.72,-5.224,Mild Rain,Cold,Partially Overcast,4.5,-1.070967741935484,-3.4766666666666666,,1.8483870967741935,,,,,,,,,,,,,7.44,
