month,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
1961-01-31,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1961-02-28,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1961-03-31,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1961-04-30,BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny
1961-05-31,BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny
1961-06-30,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1961-07-31,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1961-08-31,BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny
1961-09-30,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1961-10-31,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1961-11-30,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1961-12-31,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Partially Overcast
1961-01-31,SULE SKERRY,59.082,-4.405,Drizzle,Cool,
1961-02-28,SULE SKERRY,59.082,-4.405,,Cool,
1961-03-31,SULE SKERRY,59.082,-4.405,Heavy Rain,Cool,
1961-04-30,SULE SKERRY,59.082,-4.405,,Cool,
1961-05-31,SULE SKERRY,59.082,-4.405,,Cool,
1961-06-30,SULE SKERRY,59.082,-4.405,,Cool,
1961-07-31,SULE SKERRY,59.082,-4.405,,Cool,
1961-08-31,SULE SKERRY,59.082,-4.405,,Cool,
1961-09-30,SULE SKERRY,59.082,-4.405,,Cool,
1961-10-31,SULE SKERRY,59.082,-4.405,,Cool,
1961-11-30,SULE SKERRY,59.082,-4.405,,Cool,
1961-12-31,SULE SKERRY,59.082,-4.405,,Cool,
1961-01-31,STENNESS,58.982,-3.223,Mild Rain,,
1961-02-28,STENNESS,58.982,-3.223,Mild Rain,,
1961-03-31,STENNESS,58.982,-3.223,Mild Rain,,
1961-04-30,STENNESS,58.982,-3.223,Drizzle,,
1961-05-31,STENNESS,58.982,-3.223,Drizzle,,
1961-06-30,STENNESS,58.982,-3.223,Drizzle,Cool,Sunny
1961-07-31,STENNESS,58.982,-3.223,Drizzle,Cool,Partially Overcast
1961-08-31,STENNESS,58.982,-3.223,Mild Rain,Mild,Sunny
1961-09-30,STENNESS,58.982,-3.223,Mild Rain,Mild,Sunny
1961-10-31,STENNESS,58.982,-3.223,Mild Rain,Cool,Partially Overcast
1961-11-30,STENNESS,58.982,-3.223,Mild Rain,Cool,Partially Overcast
1961-12-31,STENNESS,58.982,-3.223,Snowy,Cool,Partially Overcast
1961-01-31,COSTA,59.131,-3.148,Mild Rain,,
1961-02-28,COSTA,59.131,-3.148,Mild Rain,,
1961-03-31,COSTA,59.131,-3.148,Mild Rain,,
1961-04-30,COSTA,59.131,-3.148,Drizzle,,
1961-05-31,COSTA,59.131,-3.148,Drizzle,,
1961-06-30,COSTA,59.131,-3.148,Mild Rain,,
1961-07-31,COSTA,59.131,-3.148,Drizzle,,
1961-08-31,COSTA,59.131,-3.148,Drizzle,,
1961-09-30,COSTA,59.131,-3.148,Mild Rain,,
1961-10-31,COSTA,59.131,-3.148,Mild Rain,Cool,Partially Overcast
1961-11-30,COSTA,59.131,-3.148,Mild Rain,Cool,Partially Overcast
1961-12-31,COSTA,59.131,-3.148,Mild Rain,Cool,Partially Overcast
1961-01-31,KIRKWALL,58.953,-2.901,Hail,Cool,Partially Overcast
1961-02-28,KIRKWALL,58.953,-2.901,,Cool,Partially Overcast
1961-03-31,KIRKWALL,58.953,-2.901,Hail,Cool,Partially Overcast
1961-04-30,KIRKWALL,58.953,-2.901,Hail,Cool,Sunny
1961-05-31,KIRKWALL,58.953,-2.901,,Cool,Sunny
1961-06-30,KIRKWALL,58.953,-2.901,,Cool,Sunny
1961-07-31,KIRKWALL,58.953,-2.901,,Cool,Partially Overcast
1961-08-31,KIRKWALL,58.953,-2.901,,Cool,Sunny
1961-09-30,KIRKWALL,58.953,-2.901,,Cool,Sunny
1961-10-31,KIRKWALL,58.953,-2.901,,Cool,Partially Overcast
1961-11-30,KIRKWALL,58.953,-2.901,Hail,Cool,Partially Overcast
1961-12-31,KIRKWALL,58.953,-2.901,Hail,Cold,Partially Overcast
1961-01-31,DOUNREAY,58.579,-3.739,Drizzle,Cool,
1961-02-28,DOUNREAY,58.579,-3.739,Drizzle,Cool,
1961-03-31,DOUNREAY,58.579,-3.739,Drizzle,Cool,
1961-04-30,DOUNREAY,58.579,-3.739,Drizzle,Cool,
1961-05-31,DOUNREAY,58.579,-3.739,Dry,Cool,
1961-06-30,DOUNREAY,58.579,-3.739,Drizzle,Cool,
1961-07-31,DOUNREAY,58.579,-3.739,Drizzle,Cool,
1961-08-31,DOUNREAY,58.579,-3.739,Drizzle,Mild,
1961-09-30,DOUNREAY,58.579,-3.739,Drizzle,Mild,
1961-10-31,DOUNREAY,58.579,-3.739,Mild Rain,Cool,
1961-11-30,DOUNREAY,58.579,-3.739,Drizzle,Cool,
1961-12-31,DOUNREAY,58.579,-3.739,Snowy,Cool,
1961-01-31,"HALKIRK , OLGRINBERG",58.453,-3.559,Drizzle,Cold,
1961-02-28,"HALKIRK , OLGRINBERG",58.453,-3.559,Snowy,Cool,
1961-03-31,"HALKIRK , OLGRINBERG",58.453,-3.559,Snowy,Cool,
1961-04-30,"HALKIRK , OLGRINBERG",58.453,-3.559,Snowy,Cool,
1961-05-31,"HALKIRK , OLGRINBERG",58.453,-3.559,Dry,Cool,
1961-06-30,"HALKIRK , OLGRINBERG",58.453,-3.559,Drizzle,Mild,
1961-07-31,"HALKIRK , OLGRINBERG",58.453,-3.559,Mild Rain,Mild,
1961-08-31,"HALKIRK , OLGRINBERG",58.453,-3.559,Mild Rain,,
1961-09-30,"HALKIRK , OLGRINBERG",58.453,-3.559,Mild Rain,,
1961-10-31,"HALKIRK , OLGRINBERG",58.453,-3.559,Mild Rain,,
1961-11-30,"HALKIRK , OLGRINBERG",58.453,-3.559,Mild Rain,,
1961-12-31,"HALKIRK , OLGRINBERG",58.453,-3.559,Mild Rain,,
1961-01-31,WICK AIRPORT,58.454,-3.09,Hail,Cold,Partially Overcast
1961-02-28,WICK AIRPORT,58.454,-3.09,,Cool,Partially Overcast
1961-03-31,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1961-04-30,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1961-05-31,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1961-06-30,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1961-07-31,WICK AIRPORT,58.454,-3.09,,Cool,Partially Overcast
1961-08-31,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1961-09-30,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1961-10-31,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1961-11-30,WICK AIRPORT,58.454,-3.09,,Cool,Partially Overcast
1961-12-31,WICK AIRPORT,58.454,-3.09,,Cold,Partially Overcast
1961-01-31,CAPE WRATH,58.625,-5.0,,Cool,
1961-02-28,CAPE WRATH,58.625,-5.0,,Cool,
1961-03-31,CAPE WRATH,58.625,-5.0,,Cool,
1961-04-30,CAPE WRATH,58.625,-5.0,,Cool,
1961-05-31,CAPE WRATH,58.625,-5.0,Drizzle,Cool,
1961-06-30,CAPE WRATH,58.625,-5.0,,Cool,
1961-07-31,CAPE WRATH,58.625,-5.0,,Cool,
1961-08-31,CAPE WRATH,58.625,-5.0,,Cool,
1961-09-30,CAPE WRATH,58.625,-5.0,,Cool,
1961-10-31,CAPE WRATH,58.625,-5.0,,Cool,
1961-11-30,CAPE WRATH,58.625,-5.0,,Cool,
1961-12-31,CAPE WRATH,58.625,-5.0,,Cool,
1961-01-31,ACHANY,57.982,-4.422,Snowy,Cold,
1961-02-28,ACHANY,57.982,-4.422,Snowy,Cool,
1961-03-31,ACHANY,57.982,-4.422,Snowy,Cool,
1961-04-30,ACHANY,57.982,-4.422,Snowy,Cool,
1961-05-31,ACHANY,57.982,-4.422,Dry,Cool,
1961-06-30,ACHANY,57.982,-4.422,Drizzle,Mild,
1961-07-31,ACHANY,57.982,-4.422,Mild Rain,Mild,
1961-08-31,ACHANY,57.982,-4.422,Mild Rain,Mild,
1961-09-30,ACHANY,57.982,-4.422,Mild Rain,Mild,
1961-10-31,ACHANY,57.982,-4.422,Mild Rain,Cool,
1961-11-30,ACHANY,57.982,-4.422,Snowy,Cool,
1961-12-31,ACHANY,57.982,-4.422,Snowy,Cold,
1961-01-31,STRATHY 1,58.52,-4.01,Drizzle,Cool,Partially Overcast
1961-02-28,STRATHY 1,58.52,-4.01,Drizzle,Cool,Partially Overcast
1961-03-31,STRATHY 1,58.52,-4.01,Drizzle,Cool,Partially Overcast
1961-04-30,STRATHY 1,58.52,-4.01,Drizzle,Cool,Sunny
1961-05-31,STRATHY 1,58.52,-4.01,Dry,Cool,Sunny
1961-06-30,STRATHY 1,58.52,-4.01,Drizzle,Mild,Sunny
1961-07-31,STRATHY 1,58.52,-4.01,Mild Rain,Cool,Partially Overcast
1961-08-31,STRATHY 1,58.52,-4.01,Mild Rain,Mild,Sunny
1961-09-30,STRATHY 1,58.52,-4.01,Mild Rain,Mild,Sunny
1961-10-31,STRATHY 1,58.52,-4.01,Mild Rain,Cool,Partially Overcast
1961-11-30,STRATHY 1,58.52,-4.01,Mild Rain,Cool,Partially Overcast
1961-12-31,STRATHY 1,58.52,-4.01,Snowy,Cold,Partially Overcast
1961-01-31,ACHNASHELLACH,57.49,-5.275,Mild Rain,Cool,
1961-02-28,ACHNASHELLACH,57.49,-5.275,Heavy Rain,Cool,
1961-03-31,ACHNASHELLACH,57.49,-5.275,Heavy Rain,Cool,
1961-04-30,ACHNASHELLACH,57.49,-5.275,Mild Rain,Cool,
1961-05-31,ACHNASHELLACH,57.49,-5.275,Mild Rain,Cool,
1961-06-30,ACHNASHELLACH,57.49,-5.275,Mild Rain,Cool,
1961-07-31,ACHNASHELLACH,57.49,-5.275,Mild Rain,Mild,
1961-08-31,ACHNASHELLACH,57.49,-5.275,Heavy Rain,Mild,
1961-09-30,ACHNASHELLACH,57.49,-5.275,Mild Rain,Mild,
1961-10-31,ACHNASHELLACH,57.49,-5.275,Heavy Rain,Cool,
1961-11-30,ACHNASHELLACH,57.49,-5.275,Mild Rain,Cool,
1961-12-31,ACHNASHELLACH,57.49,-5.275,Snowy,Cold,
1961-01-31,KINLOCHEWE,57.613,-5.306,Mild Rain,Cool,Partially Overcast
1961-02-28,KINLOCHEWE,57.613,-5.306,Heavy Rain,Cool,Partially Overcast
1961-03-31,KINLOCHEWE,57.613,-5.306,Heavy Rain,Cool,Partially Overcast
1961-04-30,KINLOCHEWE,57.613,-5.306,Mild Rain,Cool,Sunny
1961-05-31,KINLOCHEWE,57.613,-5.306,Mild Rain,Cool,Sunny
1961-06-30,KINLOCHEWE,57.613,-5.306,Mild Rain,Mild,Partially Overcast
1961-07-31,KINLOCHEWE,57.613,-5.306,Mild Rain,Mild,Partially Overcast
1961-08-31,KINLOCHEWE,57.613,-5.306,Mild Rain,Mild,Partially Overcast
1961-09-30,KINLOCHEWE,57.613,-5.306,Heavy Rain,Mild,Partially Overcast
1961-10-31,KINLOCHEWE,57.613,-5.306,Heavy Rain,Cool,Partially Overcast
1961-11-30,KINLOCHEWE,57.613,-5.306,Mild Rain,Cool,Partially Overcast
1961-12-31,KINLOCHEWE,57.613,-5.306,Snowy,Cold,Partially Overcast
1961-01-31,FORTROSE,57.574,-4.093,Drizzle,Cool,Partially Overcast
1961-02-28,FORTROSE,57.574,-4.093,Drizzle,,Sunny
1961-03-31,FORTROSE,57.574,-4.093,Drizzle,Cool,Sunny
1961-04-30,FORTROSE,57.574,-4.093,Dry,Cool,Sunny
1961-05-31,FORTROSE,57.574,-4.093,Dry,Cool,Sunny
1961-06-30,FORTROSE,57.574,-4.093,Drizzle,Mild,Sunny
1961-07-31,FORTROSE,57.574,-4.093,Drizzle,Mild,Sunny
