date,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,cs_24hr_sun_dur,wmo_24hr_sun_dur,conc_state_id,lying_snow_flag,snow_depth,frsh_snw_amt,snow_day_id,hail_day_id,thunder_day_flag,gale_day_flag,frsh_mnt_snwfall_flag,drv_24hr_sun_dur,lying_snow_ht,prcp_amt,meto_stmp_time
1901-01-01,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,Hot,Partially Overcast,,1.1,,,0.0,,,,,,,,,,,,,19.1,
1901-01-02,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,1.7,,,0.0,,,,,,,,,,,,,0.0,
1901-01-03,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,2.8,,,0.0,,,,,,,,,,,,,0.0,
1901-01-04,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,2.8,,,0.0,,,,,,,,,,,,,0.0,
1901-01-05,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,-2.8,,,0.0,,,,,,,,,,,,,0.0,
1901-01-06,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,-2.8,,,0.0,,,,,,,,,,,,,0.0,
1901-01-07,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,0.0,,,0.0,,,,,,,,,,,,,0.0,
1901-01-08,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Freezing,Partially Overcast,,-5.6,,,0.0,,,,,,,,,,,,,2.8,
1901-01-09,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Freezing,Partially Overcast,,-5.6,,,0.0,,,,,,,,,,,,,2.7,
1901-01-10,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Hot,Partially Overcast,,-1.1,,,0.0,,,,,,,,,,,,,3.7,
1901-01-11,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,2.2,,,0.0,,,,,,,,,,,,,0.0,
1901-01-12,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Hot,Partially Overcast,,3.3,,,0.0,,,,,,,,,,,,,4.6,
1901-01-13,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,1.7,,,0.0,,,,,,,,,,,,,0.0,
1901-01-14,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,-0.6,,,0.0,,,,,,,,,,,,,0.0,
1901-01-15,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,-3.3,,,0.0,,,,,,,,,,,,,0.0,
1901-01-16,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,-2.2,,,0.0,,,,,,,,,,,,,0.0,
1901-01-17,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,-3.9,,,0.0,,,,,,,,,,,,,0.6,
1901-01-18,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,2.2,,,0.0,,,,,,,,,,,,,0.0,
1901-01-19,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Hot,Partially Overcast,,0.6,,,0.0,,,,,,,,,,,,,3.2,
1901-01-20,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Hot,Partially Overcast,,4.4,,,0.0,,,,,,,,,,,,,3.0,
1901-01-21,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,3.9,,,0.0,,,,,,,,,,,,,0.3,
1901-01-22,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,1.7,,,0.0,,,,,,,,,,,,,0.0,
1901-01-23,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,-1.1,,,0.0,,,,,,,,,,,,,0.6,
1901-01-24,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,-1.1,,,0.0,,,,,,,,,,,,,0.0,
1901-01-25,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Hot,Partially Overcast,,-0.6,,,0.0,,,,,,,,,,,,,1.9,
1901-01-26,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Hot,Partially Overcast,,-1.7,,,0.0,,,,,,,,,,,,,4.1,
1901-01-27,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Hot,Partially Overcast,,-0.6,,,0.0,,,,,,,,,,,,,3.6,
1901-01-28,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Hot,Partially Overcast,,-3.9,,,0.1,,,,,,,,,,,,,0.8,
1901-01-29,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Hot,Partially Overcast,,-4.4,,,0.0,,,,,,,,,,,,,2.7,
1901-01-30,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Hot,Partially Overcast,,-0.6,,,0.7,,,,,,,,,,,,,1.3,
1901-01-31,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Hot,Partially Overcast,,-1.7,,,2.8,,,,,,,,,,,,,4.1,
1901-02-01,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast,1.1,-2.8,,,1.0,,,,,,,,,,,,,6.6,
1901-02-02,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast,2.2,-0.6,,,0.1,,,,,,,,,,,,,2.5,
1901-02-03,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast,1.7,-1.7,,,2.3,,,,,,,,,,,,,0.3,
1901-02-04,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast,1.1,-3.3,,,0.5,,,,,,,,,,,,,0.0,
1901-02-05,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Sunny,2.2,-2.8,,,4.3,,,,,,,,,,,,,2.5,
1901-02-06,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Sunny,2.2,-2.8,,,5.5,,,,,,,,,,,,,6.6,
1901-02-07,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast,3.3,-4.4,,,1.9,,,,,,,,,,,,,0.8,
1901-02-08,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast,4.4,-3.9,,,0.1,,,,,,,,,,,,,0.0,
1901-02-09,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Sunny,4.4,-3.9,,,4.3,,,,,,,,,,,,,0.0,
1901-02-10,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast,4.4,0.6,,,2.8,,,,,,,,,,,,,0.0,
1901-02-11,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Sunny,1.7,-3.9,,,3.8,,,,,,,,,,,,,0.8,
1901-02-12,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Sunny,1.7,-4.4,,,3.2,,,,,,,,,,,,,0.8,
1901-02-13,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Freezing,Sunny,2.2,-5.6,,,5.7,,,,,,,,,,,,,4.2,
1901-02-14,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Freezing,Sunny,1.7,-6.1,,,5.5,,,,,,,,,,,,,1.0,
1901-02-15,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast,2.8,-4.4,,,2.8,,,,,,,,,,,,,0.8,
1901-02-16,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Sunny,5.6,-0.6,,,4.5,,,,,,,,,,,,,0.0,
1901-02-17,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Sunny,3.9,-1.1,,,4.9,,,,,,,,,,,,,3.3,
1901-02-18,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Partially Overcast,4.4,-1.1,,,0.8,,,,,,,,,,,,,2.0,
1901-02-19,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Partially Overcast,3.9,1.7,,,0.0,,,,,,,,,,,,,1.0,
1901-02-20,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Partially Overcast,4.4,1.7,,,0.6,,,,,,,,,,,,,1.7,
1901-02-21,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast,4.4,-0.6,,,0.0,,,,,,,,,,,,,0.8,
1901-02-22,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Sunny,6.1,-1.7,,,4.2,,,,,,,,,,,,,0.9,
1901-02-23,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast,5.6,0.6,,,0.8,,,,,,,,,,,,,0.0,
1901-02-24,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast,6.1,0.0,,,0.0,,,,,,,,,,,,,0.6,
