station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,cs_24hr_sun_dur,wmo_24hr_sun_dur,conc_state_id,lying_snow_flag,snow_depth,frsh_snw_amt,snow_day_id,hail_day_id,thunder_day_flag,gale_day_flag,frsh_mnt_snwfall_flag,drv_24hr_sun_dur,lying_snow_ht,prcp_amt,meto_stmp_time
GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast,5.367741935483871,-1.5096774193548386,,,1.2838709677419353,,,,,,,,,,,,,1.925806451612903,
GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Sunny,7.2,0.20714285714285713,,,3.060714285714286,,,,,,,,,,,,,1.2535714285714286,
GORDON CASTLE,57.621,-3.09,Dry,Cool,Sunny,10.061290322580644,2.270967741935484,,,4.487096774193549,,,,,,,,,,,,,0.9290322580645162,
GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Sunny,9.336666666666668,1.2633333333333332,,,4.12,,,,,,,,,,,,,3.85,
GORDON CASTLE,57.621,-3.09,Dry,Cool,Sunny,13.951612903225806,4.870967741935484,,,5.554838709677419,,,,,,,,,,,,,0.9161290322580645,
GORDON CASTLE,57.621,-3.09,Drizzle,Mild,Sunny,17.38,7.17,,,6.1899999999999995,,,,,,,,,,,,,1.02,
GORDON CASTLE,57.621,-3.09,Mild Rain,Mild,Sunny,15.806451612903226,8.754838709677419,,,3.664516129032258,,,,,,,,,,,,,2.690322580645161,
GORDON CASTLE,57.621,-3.09,Mild Rain,Mild,Sunny,18.200000000000003,9.093548387096773,,,4.429032258064517,,,,,,,,,,,,,3.3096774193548386,
GORDON CASTLE,57.621,-3.09,Dry,Mild,Sunny,15.82,6.403333333333333,,,3.466666666666667,,,,,,,,,,,,,0.9633333333333333,
GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Sunny,13.548387096774194,4.941935483870967,,,3.261290322580645,,,,,,,,,,,,,1.5483870967741935,
GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,5.573333333333333,-0.18333333333333332,,,1.4266666666666665,,,,,,,,,,,,,5.526666666666666,
GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast,7.738709677419355,2.6516129032258067,,,0.8870967741935484,,,,,,,,,,,,,1.535483870967742,
"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast,4.964516129032258,-0.46774193548387105,-2.0129032258064514,,2.164516129032258,,,,,,,,,,,,,3.003333333333333,
"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Partially Overcast,6.160714285714286,0.03571428571428572,-0.6607142857142857,,2.8000000000000003,,,,,,,,,,,,,2.2714285714285714,
"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Sunny,8.906451612903227,1.432258064516129,0.21612903225806454,,4.296774193548386,,,,,,,,,,,,,0.6774193548387096,
"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Sunny,9.753333333333334,1.4733333333333334,0.51,,4.216666666666667,,,,,,,,,,,,,1.7666666666666666,
"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Sunny,12.751612903225807,4.745161290322581,3.7193548387096773,,5.419354838709677,,,,,,,,,,,,,1.6419354838709677,
"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Mild,Sunny,16.996666666666666,8.366666666666667,7.37,,7.216666666666667,,,,,,,,,,,,,0.8,
"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Mild,Sunny,16.164516129032258,9.30967741935484,8.07741935483871,,3.5483870967741935,,,,,,,,,,,,,1.967741935483871,
"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Mild,Sunny,17.438709677419357,10.2,8.696774193548388,,5.009677419354839,,,,,,,,,,,,,2.6548387096774193,
"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Sunny,14.896666666666667,7.34,3.54,,3.9699999999999998,,,,,,,,,,,,,0.7799999999999999,
"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Partially Overcast,12.612903225806452,6.929032258064516,2.206451612903226,,2.5677419354838706,,,,,,,,,,,,,2.306451612903226,
"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast,5.0,-0.13333333333333333,-2.546666666666667,,2.8466666666666667,,,,,,,,,,,,,2.9766666666666666,
"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Partially Overcast,7.380645161290323,3.0129032258064514,0.8354838709677419,,1.0612903225806452,,,,,,,,,,,,,1.7580645161290323,
DURHAM,54.768,-1.586,Drizzle,Cool,Partially Overcast,5.609677419354839,-0.28709677419354845,,,2.07741935483871,,,,,,,,,,,,,1.7645161290322582,
DURHAM,54.768,-1.586,Drizzle,Cool,Partially Overcast,6.292857142857143,0.6785714285714286,,,2.6607142857142856,,,,,,,,,,,,,1.8892857142857142,
DURHAM,54.768,-1.586,Dry,Cool,Sunny,9.46774193548387,1.9483870967741934,,,4.009677419354839,,,,,,,,,,,,,0.529032258064516,
DURHAM,54.768,-1.586,Drizzle,Cool,Sunny,9.870000000000001,1.9833333333333334,,,3.74,,,,,,,,,,,,,2.0366666666666666,
DURHAM,54.768,-1.586,Drizzle,Cool,Sunny,13.203225806451613,5.138709677419355,,,5.248387096774193,,,,,,,,,,,,,1.2774193548387098,
DURHAM,54.768,-1.586,Drizzle,Mild,Sunny,17.803333333333335,8.533333333333333,,,6.136666666666667,,,,,,,,,,,,,2.05,
DURHAM,54.768,-1.586,Drizzle,Mild,Sunny,16.85483870967742,9.541935483870969,,,4.093548387096774,,,,,,,,,,,,,2.425806451612903,
DURHAM,54.768,-1.586,Drizzle,Mild,Sunny,18.467741935483872,10.64516129032258,,,4.62258064516129,,,,,,,,,,,,,2.0064516129032257,
DURHAM,54.768,-1.586,Dry,Mild,Sunny,15.676666666666668,7.246666666666667,,,3.643333333333333,,,,,,,,,,,,,0.31666666666666665,
DURHAM,54.768,-1.586,Drizzle,Cool,Partially Overcast,13.138709677419355,7.129032258064516,,,2.6806451612903226,,,,,,,,,,,,,2.296774193548387,
DURHAM,54.768,-1.586,Mild Rain,Cool,Sunny,5.593333333333334,-0.4166666666666667,,,3.0900000000000003,,,,,,,,,,,,,2.5200000000000005,
DURHAM,54.768,-1.586,Drizzle,Cool,Partially Overcast,7.699999999999999,3.0935483870967744,,,1.396774193548387,,,,,,,,,,,,,1.6580645161290322,
HULL,53.756,-0.358,Drizzle,Cool,Partially Overcast,5.874193548387097,0.767741935483871,-0.9709677419354839,,1.1806451612903226,,,,,,,,,,,,,1.4709677419354839,
HULL,53.756,-0.358,Drizzle,Cool,Partially Overcast,7.846428571428572,2.0035714285714286,-0.13214285714285706,,1.8892857142857142,,,,,,,,,,,,,1.4928571428571427,
HULL,53.756,-0.358,Dry,Cool,Sunny,10.17741935483871,2.583870967741935,-0.23225806451612901,,3.5548387096774197,,,,,,,,,,,,,0.7096774193548387,
HULL,53.756,-0.358,Drizzle,Cool,Partially Overcast,11.403333333333334,2.7766666666666664,0.8466666666666669,,2.7266666666666666,,,,,,,,,,,,,1.7433333333333332,
HULL,53.756,-0.358,Drizzle,Cool,Sunny,14.735483870967743,6.419354838709677,5.243333333333334,,5.029032258064516,,,,,,,,,,,,,1.5612903225806452,
HULL,53.756,-0.358,Drizzle,Mild,Sunny,18.779999999999998,10.3,8.796666666666665,,4.5600000000000005,,,,,,,,,,,,,2.466666666666667,
HULL,53.756,-0.358,Drizzle,Mild,Sunny,17.835483870967742,10.73225806451613,9.95483870967742,,4.074193548387097,,,,,,,,,,,,,2.3483870967741933,
HULL,53.756,-0.358,Mild Rain,Mild,Sunny,20.612903225806452,11.77741935483871,10.283870967741937,,4.0,,,,,,,,,,,,,2.9322580645161294,
HULL,53.756,-0.358,Dry,Mild,Partially Overcast,16.406666666666666,8.926666666666668,7.13,,2.7366666666666664,,,,,,,,,,,,,0.24000000000000002,
HULL,53.756,-0.358,Drizzle,Cool,Partially Overcast,14.464516129032257,8.458064516129031,6.22258064516129,,2.0677419354838706,,,,,,,,,,,,,1.3580645161290321,
HULL,53.756,-0.358,Mild Rain,Cool,Partially Overcast,6.703333333333333,0.3466666666666667,-2.3733333333333335,,2.23,,,,,,,,,,,,,2.7066666666666666,
HULL,53.756,-0.358,Drizzle,Cool,Partially Overcast,8.390322580645162,3.570967741935484,1.4161290322580644,,0.7806451612903226,,,,,,,,,,,,,2.4,
SKEGNESS,53.148,0.346,Drizzle,Cool,Partially Overcast,5.558064516129032,0.058064516129032163,,,2.564516129032258,,,,,,,,,,,,,1.467741935483871,
SKEGNESS,53.148,0.346,Drizzle,Cool,Partially Overcast,7.535714285714286,1.4714285714285715,,,2.8857142857142857,,,,,,,,,,,,,2.064285714285714,
SKEGNESS,53.148,0.346,Dry,Cool,Sunny,8.951612903225806,1.7806451612903227,,,5.245161290322581,,,,,,,,,,,,,0.5354838709677419,
SKEGNESS,53.148,0.346,Drizzle,Cool,Sunny,10.74,3.3866666666666663,,,4.676666666666667,,,,,,,,,,,,,2.3466666666666662,
SKEGNESS,53.148,0.346,Drizzle,Cool,Sunny,12.880645161290323,6.596774193548387,,,7.15483870967742,,,,,,,,,,,,,1.5419354838709676,
SKEGNESS,53.148,0.346,Drizzle,Mild,Sunny,17.166666666666668,10.33,,,5.986666666666666,,,,,,,,,,,,,1.73,
SKEGNESS,53.148,0.346,Mild Rain,Mild,Sunny,16.461290322580645,10.80967741935484,,,3.638709677419355,,,,,,,,,,,,,2.6774193548387095,
SKEGNESS,53.148,0.346,Drizzle,Mild,Sunny,18.938709677419357,11.806451612903226,,,5.548387096774194,,,,,,,,,,,,,2.193548387096774,
SKEGNESS,53.148,0.346,Dry,Mild,Sunny,15.793333333333333,9.796666666666665,,,4.29,,,,,,,,,,,,,0.56,
SKEGNESS,53.148,0.346,Drizzle,Cool,Partially Overcast,13.706451612903225,9.303225806451612,,,2.606451612903226,,,,,,,,,,,,,1.2419354838709677,
SKEGNESS,53.148,0.346,Mild Rain,Cool,Sunny,6.886666666666667,0.019999999999999952,,,3.35,,,,,,,,,,,,,2.603333333333333,
SKEGNESS,53.148,0.346,Mild Rain,Cool,Partially Overcast,7.738709677419355,3.509677419354839,,,1.3806451612903226,,,,,,,,,,,,,2.851612903225807,
CROMER,52.934,1.291,Drizzle,Cool,,6.1,1.1774193548387097,,,,,,,,,,,,,,,,2.064516129032258,
CROMER,52.934,1.291,Drizzle,Cool,,7.464285714285714,1.7464285714285714,,,,,,,,,,,,,,,,1.8964285714285711,
CROMER,52.934,1.291,Dry,Cool,,9.167741935483871,2.267741935483871,,,,,,,,,,,,,,,,0.6612903225806451,
CROMER,52.934,1.291,Drizzle,Cool,,11.173333333333334,3.6933333333333334,,,,,,,,,,,,,,,,1.3433333333333333,
CROMER,52.934,1.291,Drizzle,Cool,,13.577419354838709,6.803225806451613,,,,,,,,,,,,,,,,1.9096774193548387,
CROMER,52.934,1.291,Drizzle,Mild,,17.433333333333334,10.093333333333334,,,,,,,,,,,,,,,,1.0533333333333335,
CROMER,52.934,1.291,Mild Rain,Mild,,16.59032258064516,10.674193548387096,,,,,,,,,,,,,,,,3.4322580645161294,
CROMER,52.934,1.291,Drizzle,Mild,,19.551612903225806,11.493548387096775,,,,,,,,,,,,,,,,1.2548387096774194,
CROMER,52.934,1.291,Dry,Mild,,16.156666666666666,10.8,,,,,,,,,,,,,,,,0.82,
CROMER,52.934,1.291,Dry,Cool,,14.36774193548387,9.219354838709679,,,,,,,,,,,,,,,,0.7709677419354838,
CROMER,52.934,1.291,Mild Rain,Cool,,7.45,1.3633333333333333,,,,,,,,,,,,,,,,3.36,
CROMER,52.934,1.291,Mild Rain,Cool,,9.05483870967742,3.8741935483870966,,,,,,,,,,,,,,,,2.770967741935484,
LOWESTOFT,52.49,1.744,Drizzle,Cool,Partially Overcast,6.203225806451614,0.8548387096774194,-0.6064516129032258,,2.8,,,,,,,,,,,,,2.0999999999999996,
LOWESTOFT,52.49,1.744,Drizzle,Cool,Partially Overcast,7.910714285714286,1.975,0.08214285714285714,,2.5500000000000003,,,,,,,,,,,,,1.8392857142857142,
LOWESTOFT,52.49,1.744,Dry,Cool,Sunny,8.503225806451614,2.4129032258064513,0.8387096774193549,,5.232258064516128,,,,,,,,,,,,,0.8612903225806451,
LOWESTOFT,52.49,1.744,Drizzle,Cool,Sunny,10.49,4.166666666666667,2.4166666666666665,,6.1866666666666665,,,,,,,,,,,,,1.45,
LOWESTOFT,52.49,1.744,Drizzle,Cool,Sunny,12.832258064516129,7.441935483870967,6.33225806451613,,7.267741935483872,,,,,,,,,,,,,2.416129032258065,
LOWESTOFT,52.49,1.744,Mild Rain,Mild,Sunny,16.84,10.986666666666668,9.473333333333333,,7.293333333333334,,,,,,,,,,,,,2.783333333333333,
LOWESTOFT,52.49,1.744,Drizzle,Mild,Sunny,16.706451612903226,11.306451612903226,10.416129032258064,,3.7483870967741937,,,,,,,,,,,,,2.3,
LOWESTOFT,52.49,1.744,Drizzle,Mild,Sunny,19.48709677419355,12.380645161290323,10.806451612903226,,6.829032258064516,,,,,,,,,,,,,1.0741935483870966,
LOWESTOFT,52.49,1.744,Drizzle,Mild,Sunny,16.029999999999998,10.629999999999999,8.946666666666665,,4.569999999999999,,,,,,,,,,,,,1.7833333333333334,
LOWESTOFT,52.49,1.744,Dry,Cool,Partially Overcast,14.116129032258065,9.929032258064517,8.13225806451613,,2.583870967741935,,,,,,,,,,,,,0.7806451612903226,
LOWESTOFT,52.49,1.744,Mild Rain,Cool,Sunny,7.319999999999999,1.35,-0.59,,3.2266666666666666,,,,,,,,,,,,,3.48,
LOWESTOFT,52.49,1.744,Mild Rain,Cool,Partially Overcast,8.080645161290322,3.896774193548387,2.3838709677419354,,1.3419354838709678,,,,,,,,,,,,,3.4483870967741934,
