src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year,file_location_temp,file_location_weather,file_location_precip
1523,HELENS BAY,helens-bay,down,54.669,-5.748,43,1961,2006,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\down\01523_helens-bay\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\down\01523_helens-bay\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\down\01523_helens-bay\qc-version-1
16584,"BOLTON, SMITHILLS HALL",bolton-smithills-hall,greater-manchester,53.603,-2.45,154,1995,2001,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\greater-manchester\16584_bolton-smithills-hall\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\greater-manchester\16584_bolton-smithills-hall\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\greater-manchester\16584_bolton-smithills-hall\qc-version-1
1525,KILLOUGH,killough,down,54.243,-5.638,15,1968,1997,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\down\01525_killough\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\down\01525_killough\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\down\01525_killough\qc-version-1
1526,LOUGH COWEY,lough-cowey,down,54.414,-5.539,10,1978,2003,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\down\01526_lough-cowey\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\down\01526_lough-cowey\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\down\01526_lough-cowey\qc-version-1
1527,BALLYWALTER PARK,ballywalter-park,down,54.535,-5.493,11,1970,1982,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\down\01527_ballywalter-park\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\down\01527_ballywalter-park\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\down\01527_ballywalter-park\qc-version-1
1528,"ANNALONG, DARRAWAY",annalong-darraway,down,54.093,-5.922,9,1984,1989,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\down\01528_annalong-darraway\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\down\01528_annalong-darraway\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\down\01528_annalong-darraway\qc-version-1
1530,ARMAGH,armagh,armagh,54.352,-6.65,62,1959,2019,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\armagh\01530_armagh\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\armagh\01530_armagh\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\armagh\01530_armagh\qc-version-1
1531,LOUGHGALL NO 1,loughgall-no-1,armagh,54.408,-6.604,25,1961,1995,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\armagh\01531_loughgall-no-1\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\armagh\01531_loughgall-no-1\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\armagh\01531_loughgall-no-1\qc-version-1
1532,ANNAGHMORE,annaghmore,armagh,54.459,-6.603,27,1980,2008,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\armagh\01532_annaghmore\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\armagh\01532_annaghmore\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\armagh\01532_annaghmore\qc-version-1
1533,CASTOR BAY W WKS,castor-bay-w-wks,armagh,54.501,-6.343,17,1986,2008,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\armagh\01533_castor-bay-w-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\armagh\01533_castor-bay-w-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\armagh\01533_castor-bay-w-wks\qc-version-1
1534,GLENANNE NO 2,glenanne-no-2,armagh,54.237,-6.504,161,1992,1997,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\armagh\01534_glenanne-no-2\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\armagh\01534_glenanne-no-2\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\armagh\01534_glenanne-no-2\qc-version-1
1535,TANDRAGEE BALLYLISK,tandragee-ballylisk,armagh,54.369,-6.427,43,1971,2002,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\armagh\01535_tandragee-ballylisk\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\armagh\01535_tandragee-ballylisk\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\armagh\01535_tandragee-ballylisk\qc-version-1
1536,CAMLOUGH,camlough,armagh,54.151,-6.409,131,1972,1973,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\armagh\01536_camlough\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\armagh\01536_camlough\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\armagh\01536_camlough\qc-version-1
1537,BESSBROOK,bessbrook,armagh,54.194,-6.391,76,1961,1973,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\armagh\01537_bessbrook\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\armagh\01537_bessbrook\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\armagh\01537_bessbrook\qc-version-1
1538,PORTADOWN S WKS,portadown-s-wks,armagh,54.438,-6.43,16,1965,1975,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\armagh\01538_portadown-s-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\armagh\01538_portadown-s-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\armagh\01538_portadown-s-wks\qc-version-1
1539,BALLYNACOR S WKS,ballynacor-s-wks,armagh,54.474,-6.41,21,1982,1983,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\armagh\01539_ballynacor-s-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\armagh\01539_ballynacor-s-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\armagh\01539_ballynacor-s-wks\qc-version-1
1540,LURGAN CEMETERY,lurgan-cemetery,armagh,54.449,-6.347,55,1976,1985,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\armagh\01540_lurgan-cemetery\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\armagh\01540_lurgan-cemetery\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\armagh\01540_lurgan-cemetery\qc-version-1
