station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,cs_24hr_sun_dur,wmo_24hr_sun_dur,conc_state_id,lying_snow_flag,snow_depth,frsh_snw_amt,snow_day_id,hail_day_id,thunder_day_flag,gale_day_flag,frsh_mnt_snwfall_flag,drv_24hr_sun_dur,lying_snow_ht,prcp_amt
FOULA,60.154,-2.074,Mild Rain,Cool,,8.216129032258063,4.341935483870968,1.3576923076923075,,,,,,0.0,0.0,8.36,8.52,9.0,8.04,,,,6.9
FOULA,60.154,-2.074,Heavy Rain,Cool,,6.814285714285714,2.1526315789473682,0.775,,,,,,0.0,0.0,6.4,6.6,9.0,6.2,,,,9.214285714285714
FOULA,60.154,-2.074,Mild Rain,Cool,,7.470967741935484,3.051612903225806,1.135483870967742,,,,,,0.0,,8.483870967741936,8.806451612903226,9.0,8.225806451612904,,,,3.661290322580645
FOULA,60.154,-2.074,Drizzle,Cool,,9.193333333333333,5.41,3.188,,,,,,0.0,,8.84,8.76,9.0,8.68,,,,2.453333333333333
FOULA,60.154,-2.074,Drizzle,Cool,,10.95483870967742,6.803225806451613,4.786666666666666,,,,,,0.0,,9.0,9.0,9.0,9.0,,,,1.2451612903225806
FOULA,60.154,-2.074,Drizzle,Cool,,13.825,9.63125,7.6625,,,,,,0.0,,9.0,9.0,9.0,9.0,,,,1.9899999999999998
FOULA,60.154,-2.074,Mild Rain,Cool,,14.174193548387096,10.45483870967742,8.564516129032258,,,,,,0.0,,9.0,9.0,9.0,9.0,,,,4.012903225806451
FOULA,60.154,-2.074,Drizzle,Mild,,15.564516129032258,11.574193548387097,9.426923076923076,,,,,,0.0,,9.0,9.0,9.0,9.0,,,,1.506451612903226
FOULA,60.154,-2.074,Drizzle,Cool,,13.813333333333333,10.72,9.1,,,,,,0.0,,9.0,9.0,9.0,9.0,,,,1.6
FOULA,60.154,-2.074,Drizzle,Cool,,10.219354838709679,6.283870967741936,3.086666666666667,,,,,,0.0,,6.517241379310345,6.931034482758621,9.0,8.137931034482758,,,,2.3161290322580643
FOULA,60.154,-2.074,Mild Rain,Cool,,8.825806451612904,5.612903225806452,2.0391304347826087,,,,,,0.0,,9.0,9.0,9.0,9.0,,,,5.129032258064516
