month,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
1969-01-31,HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Partially Overcast
1969-02-28,HAMNAVOE,60.104,-1.333,Snowy,Cold,Partially Overcast
1969-03-31,HAMNAVOE,60.104,-1.333,Mild Rain,Cold,Sunny
1969-04-30,HAMNAVOE,60.104,-1.333,Drizzle,Cool,Sunny
1969-05-31,HAMNAVOE,60.104,-1.333,Drizzle,Cool,Sunny
1969-06-30,HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Sunny
1969-07-31,HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Sunny
1969-08-31,HAMNAVOE,60.104,-1.333,Drizzle,Mild,Sunny
1969-09-30,HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Sunny
1969-10-31,HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Partially Overcast
1969-11-30,HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Partially Overcast
1969-12-31,HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Partially Overcast
1969-01-31,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1969-02-28,BALTASOUND,60.759,-0.888,Snowy,Cold,Partially Overcast
1969-03-31,BALTASOUND,60.759,-0.888,Snowy,Cold,Sunny
1969-04-30,BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny
1969-05-31,BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny
1969-06-30,BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny
1969-07-31,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1969-08-31,BALTASOUND,60.759,-0.888,Drizzle,Mild,Sunny
1969-09-30,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1969-10-31,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1969-11-30,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Partially Overcast
1969-12-31,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1969-01-31,SULE SKERRY,59.082,-4.405,Dry,Cool,
1969-02-28,SULE SKERRY,59.082,-4.405,,Cold,
1969-03-31,SULE SKERRY,59.082,-4.405,,Cool,
1969-04-30,SULE SKERRY,59.082,-4.405,,Cool,
1969-05-31,SULE SKERRY,59.082,-4.405,,Cool,
1969-06-30,SULE SKERRY,59.082,-4.405,,Cool,
1969-07-31,SULE SKERRY,59.082,-4.405,,Cool,
1969-08-31,SULE SKERRY,59.082,-4.405,,Cool,
1969-09-30,SULE SKERRY,59.082,-4.405,,Cool,
1969-10-31,SULE SKERRY,59.082,-4.405,,Cool,
1969-11-30,SULE SKERRY,59.082,-4.405,Hail,Cool,
1969-12-31,SULE SKERRY,59.082,-4.405,,Cool,
1969-01-31,STENNESS,58.982,-3.223,Mild Rain,Cool,Partially Overcast
1969-02-28,STENNESS,58.982,-3.223,Snowy,Cold,Partially Overcast
1969-03-31,STENNESS,58.982,-3.223,Snowy,Cool,Sunny
1969-04-30,STENNESS,58.982,-3.223,Drizzle,Cool,Sunny
1969-05-31,STENNESS,58.982,-3.223,Drizzle,Cool,Sunny
1969-06-30,STENNESS,58.982,-3.223,Drizzle,Mild,Sunny
1969-07-31,STENNESS,58.982,-3.223,Drizzle,Mild,Sunny
1969-08-31,STENNESS,58.982,-3.223,Drizzle,Mild,Sunny
1969-09-30,STENNESS,58.982,-3.223,Mild Rain,Cool,Partially Overcast
1969-10-31,STENNESS,58.982,-3.223,Mild Rain,Cool,Partially Overcast
1969-11-30,STENNESS,58.982,-3.223,Snowy,Cool,Partially Overcast
1969-12-31,STENNESS,58.982,-3.223,Snowy,Cool,Partially Overcast
1969-01-31,KIRKWALL,58.953,-2.901,Hail,Cool,Partially Overcast
1969-02-28,KIRKWALL,58.953,-2.901,Hail,Cold,Partially Overcast
1969-03-31,KIRKWALL,58.953,-2.901,Hail,Cold,Sunny
1969-04-30,KIRKWALL,58.953,-2.901,Hail,Cool,Sunny
1969-05-31,KIRKWALL,58.953,-2.901,,Cool,Partially Overcast
1969-06-30,KIRKWALL,58.953,-2.901,,Cool,Sunny
1969-07-31,KIRKWALL,58.953,-2.901,,Cool,Sunny
1969-08-31,KIRKWALL,58.953,-2.901,,Mild,Sunny
1969-09-30,KIRKWALL,58.953,-2.901,,Cool,Partially Overcast
1969-10-31,KIRKWALL,58.953,-2.901,,Cool,Partially Overcast
1969-11-30,KIRKWALL,58.953,-2.901,Hail,Cool,Partially Overcast
1969-12-31,KIRKWALL,58.953,-2.901,Hail,Cool,Partially Overcast
1969-01-31,DOUNREAY,58.579,-3.739,Mild Rain,Cool,Partially Overcast
