station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,cs_24hr_sun_dur,wmo_24hr_sun_dur,conc_state_id,lying_snow_flag,snow_depth,frsh_snw_amt,snow_day_id,hail_day_id,thunder_day_flag,gale_day_flag,frsh_mnt_snwfall_flag,drv_24hr_sun_dur,lying_snow_ht,prcp_amt,meto_stmp_time
FOULA,60.154,-2.074,Mild Rain,Cool,,7.587096774193548,4.483870967741935,2.161290322580645,,,,,0.0,0.0,0.0,8.741935483870968,9.0,9.0,8.483870967741936,,,,2.596774193548387,
FOULA,60.154,-2.074,Gale,Cool,,7.485714285714286,2.317857142857143,0.8115384615384615,,,,,0.0,0.0,0.0,4.714285714285714,6.928571428571429,8.714285714285714,4.107142857142857,,,,6.357142857142857,
FOULA,60.154,-2.074,Mild Rain,Cool,,7.593548387096774,3.9096774193548387,2.5677419354838706,,,,,,0.0,,6.935483870967742,8.03225806451613,9.0,6.161290322580645,,,,5.351612903225806,
FOULA,60.154,-2.074,Mild Rain,Cool,,7.9399999999999995,4.136666666666667,2.77,,,,,,0.0,,7.666666666666667,8.866666666666667,9.0,7.666666666666667,,,,3.506666666666667,
FOULA,60.154,-2.074,Drizzle,Cool,,9.709677419354838,5.564516129032258,3.896774193548387,,,,,,0.0,,8.483870967741936,8.548387096774194,9.0,8.483870967741936,,,,1.3612903225806452,
FOULA,60.154,-2.074,Drizzle,Cool,,11.91,8.433333333333334,6.834482758620689,,,,,,0.0,,9.0,9.0,9.0,9.0,,,,1.0413793103448277,
FOULA,60.154,-2.074,Dry,Cool,,14.74516129032258,10.770967741935483,9.151612903225805,,,,1.0,,0.0,,9.0,9.0,9.0,8.733333333333333,,,,0.9387096774193548,
FOULA,60.154,-2.074,Mild Rain,Mild,,16.72258064516129,12.09032258064516,10.600000000000001,,,,,,0.0,0.0,9.0,9.0,8.741935483870968,9.0,,,,3.0193548387096776,
FOULA,60.154,-2.074,Mild Rain,Cool,,13.243333333333334,9.786666666666667,7.526666666666667,,,,,,0.0,,9.0,9.0,9.0,7.666666666666667,,,,2.996666666666667,
FOULA,60.154,-2.074,Mild Rain,Cool,,10.706451612903225,6.983870967741935,5.296774193548386,,,,,,0.0,,8.741935483870968,8.806451612903226,9.0,8.741935483870968,,,,2.8,
FOULA,60.154,-2.074,Mild Rain,Cool,,9.673333333333334,7.196666666666667,5.25,,,,,,0.0,,8.724137931034482,8.586206896551724,9.0,7.896551724137931,,,,3.4166666666666665,
FOULA,60.154,-2.074,Mild Rain,Cool,,8.654838709677419,5.419354838709677,2.732258064516129,,,,,,0.0,,7.967741935483871,8.612903225806452,9.0,8.741935483870968,,,,3.67,
FAIR ISLE,59.526,-1.63,,Cool,Partially Overcast,6.496774193548387,4.27741935483871,2.174193548387097,,1.238709677419355,,,0.0,0.0,0.0,0.12903225806451613,0.7741935483870968,0.0,0.0967741935483871,,,,,
FAIR ISLE,59.526,-1.63,Hail,Cool,Partially Overcast,6.6125,3.3464285714285715,1.5392857142857144,,2.1785714285714284,,,0.0,0.0,0.0,0.9285714285714286,2.2857142857142856,0.07142857142857142,0.6071428571428571,,,,,
