date,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,cs_24hr_sun_dur,wmo_24hr_sun_dur,conc_state_id,lying_snow_flag,snow_depth,frsh_snw_amt,snow_day_id,hail_day_id,thunder_day_flag,gale_day_flag,frsh_mnt_snwfall_flag,drv_24hr_sun_dur,lying_snow_ht,prcp_amt,meto_stmp_time
1906-01-01,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Partially Overcast,,,-4.1,,0.0,,,,,,,,,,,,,0.0,
1906-01-01,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast,2.9,-2.3,,,0.0,,,,,,,,,,,,,0.0,
1906-01-02,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Partially Overcast,,,0.0,,0.0,,,,,,,,,,,,,0.5,
1906-01-02,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast,4.6,0.7,,,0.0,,,,,,,,,,,,,0.5,
1906-01-03,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,,Partially Overcast,,,2.8,,0.0,,,,,,,,,,,,,2.4,
1906-01-03,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Partially Overcast,4.4,2.2,,,0.0,,,,,,,,,,,,,2.4,
1906-01-04,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,,Partially Overcast,,,-0.3,,0.0,,,,,,,,,,,,,2.5,
1906-01-04,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cool,Partially Overcast,5.6,0.7,,,0.0,,,,,,,,,,,,,2.5,
1906-01-05,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Sunny,,,-0.3,,3.7,,,,,,,,,,,,,0.4,
1906-01-05,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Sunny,7.2,1.4,,,3.7,,,,,,,,,,,,,0.4,
1906-01-06,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,,Partially Overcast,,,-0.7,,0.0,,,,,,,,,,,,,7.1,
1906-01-06,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cool,Partially Overcast,5.3,1.7,,,0.0,,,,,,,,,,,,,7.1,
1906-01-07,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,,Partially Overcast,,,-3.6,,2.3,,,,,,,,,,,,,11.4,
1906-01-07,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,Cool,Partially Overcast,5.6,-0.8,,,2.3,,,,,,,,,,,,,11.4,
1906-01-08,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,,Partially Overcast,,,-2.2,,0.0,,,,,,,,,,,,,3.0,
1906-01-08,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast,4.4,0.3,,,0.0,,,,,,,,,,,,,3.0,
1906-01-09,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,,Partially Overcast,,,-1.7,,0.7,,,,,,,,,,,,,1.0,
1906-01-09,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Partially Overcast,6.1,-0.3,,,0.7,,,,,,,,,,,,,1.0,
1906-01-10,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,,Partially Overcast,,,-1.7,,0.3,,,,,,,,,,,,,1.0,
1906-01-10,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Partially Overcast,6.1,1.1,,,0.3,,,,,,,,,,,,,1.0,
1906-01-11,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Partially Overcast,,,-1.4,,0.0,,,,,,,,,,,,,0.0,
1906-01-11,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast,7.2,0.6,,,0.0,,,,,,,,,,,,,0.0,
1906-01-12,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,,Sunny,,,-0.4,,3.9,,,,,,,,,,,,,1.5,
1906-01-12,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Sunny,6.4,1.9,,,3.9,,,,,,,,,,,,,1.5,
1906-01-13,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Sunny,,,-0.9,,6.0,,,,,,,,,,,,,0.5,
1906-01-13,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Sunny,5.2,0.4,,,6.0,,,,,,,,,,,,,0.5,
1906-01-14,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Partially Overcast,,,-1.7,,1.1,,,,,,,,,,,,,0.0,
1906-01-14,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast,8.3,0.8,,,1.1,,,,,,,,,,,,,0.0,
1906-01-15,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Partially Overcast,,,2.7,,0.2,,,,,,,,,,,,,0.0,
1906-01-15,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast,8.9,0.0,,,0.2,,,,,,,,,,,,,0.0,
1906-01-16,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,,Partially Overcast,,,-2.2,,0.3,,,,,,,,,,,,,1.5,
1906-01-16,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Partially Overcast,3.4,0.0,,,0.3,,,,,,,,,,,,,1.5,
1906-01-17,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,,Sunny,,,-1.7,,5.4,,,,,,,,,,,,,2.5,
1906-01-17,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cool,Sunny,5.6,0.0,,,5.4,,,,,,,,,,,,,2.5,
1906-01-18,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,,Partially Overcast,,,-0.2,,0.0,,,,,,,,,,,,,1.0,
1906-01-18,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Partially Overcast,4.6,0.6,,,0.0,,,,,,,,,,,,,1.0,
1906-01-19,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,,Sunny,,,-1.3,,4.1,,,,,,,,,,,,,9.1,
1906-01-19,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,Cold,Sunny,3.9,-0.3,,,4.1,,,,,,,,,,,,,9.1,
1906-01-20,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Partially Overcast,,,-4.3,,0.0,,,,,,,,,,,,,0.0,
1906-01-20,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast,6.1,-2.7,,,0.0,,,,,,,,,,,,,0.0,
1906-01-21,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,,Partially Overcast,,,0.6,,0.2,,,,,,,,,,,,,1.0,
1906-01-21,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Partially Overcast,6.3,0.0,,,0.2,,,,,,,,,,,,,1.0,
1906-01-22,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,,Sunny,,,-3.7,,7.0,,,,,,,,,,,,,3.0,
1906-01-22,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cool,Sunny,5.2,-1.7,,,7.0,,,,,,,,,,,,,3.0,
1906-01-23,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Partially Overcast,,,-2.8,,0.0,,,,,,,,,,,,,0.0,
1906-01-23,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast,4.4,0.6,,,0.0,,,,,,,,,,,,,0.0,
1906-01-24,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Partially Overcast,,,1.1,,1.3,,,,,,,,,,,,,0.3,
1906-01-24,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast,7.8,2.9,,,1.3,,,,,,,,,,,,,0.3,
1906-01-25,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Partially Overcast,,,1.2,,1.2,,,,,,,,,,,,,0.3,
1906-01-25,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast,9.7,3.1,,,1.2,,,,,,,,,,,,,0.3,
1906-01-26,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Sunny,,,3.1,,3.5,,,,,,,,,,,,,0.0,
1906-01-26,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Sunny,10.2,5.6,,,3.5,,,,,,,,,,,,,0.0,
1906-01-27,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,,Partially Overcast,,,5.6,,0.2,,,,,,,,,,,,,0.0,
1906-01-27,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast,10.0,7.5,,,0.2,,,,,,,,,,,,,0.0,
