month,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
2002-01-31,FOULA,60.154,-2.074,Mild Rain,Cool,
2002-02-28,FOULA,60.154,-2.074,Heavy Rain,Cool,
2002-03-31,FOULA,60.154,-2.074,Mild Rain,Cool,
2002-04-30,FOULA,60.154,-2.074,Drizzle,Cool,
2002-05-31,FOULA,60.154,-2.074,Drizzle,Cool,
2002-06-30,FOULA,60.154,-2.074,Drizzle,Cool,
2002-07-31,FOULA,60.154,-2.074,Mild Rain,Cool,
2002-08-31,FOULA,60.154,-2.074,Drizzle,Mild,
2002-09-30,FOULA,60.154,-2.074,Drizzle,Cool,
2002-10-31,FOULA,60.154,-2.074,Drizzle,Cool,
2002-11-30,FOULA,60.154,-2.074,Mild Rain,Cool,
2002-12-31,FOULA,60.154,-2.074,Mild Rain,Cool,
2002-01-31,BALTASOUND NO 2,60.748,-0.856,,Cool,
2002-02-28,BALTASOUND NO 2,60.748,-0.856,,Cool,
2002-03-31,BALTASOUND NO 2,60.748,-0.856,,Cool,
2002-04-30,BALTASOUND NO 2,60.748,-0.856,,Cool,
2002-05-31,BALTASOUND NO 2,60.748,-0.856,,Cool,
2002-06-30,BALTASOUND NO 2,60.748,-0.856,,Cool,
2002-07-31,BALTASOUND NO 2,60.748,-0.856,,Cool,
2002-08-31,BALTASOUND NO 2,60.748,-0.856,,Mild,
2002-09-30,BALTASOUND NO 2,60.748,-0.856,,Cool,
2002-10-31,BALTASOUND NO 2,60.748,-0.856,,Cool,
2002-11-30,BALTASOUND NO 2,60.748,-0.856,Drizzle,Cool,
2002-12-31,BALTASOUND NO 2,60.748,-0.856,,Cool,
2002-01-31,RACKWICK,58.873,-3.387,Mild Rain,Cool,
2002-02-28,RACKWICK,58.873,-3.387,Snowy,Cool,
2002-03-31,RACKWICK,58.873,-3.387,Hail,Cool,
2002-04-30,RACKWICK,58.873,-3.387,Mild Rain,Cool,
2002-05-31,RACKWICK,58.873,-3.387,Drizzle,Cool,
2002-06-30,RACKWICK,58.873,-3.387,Drizzle,Mild,
2002-07-31,RACKWICK,58.873,-3.387,Mild Rain,Mild,
2002-08-31,RACKWICK,58.873,-3.387,Drizzle,Mild,
2002-09-30,RACKWICK,58.873,-3.387,Dry,Mild,
2002-10-31,RACKWICK,58.873,-3.387,Heavy Rain,Mild,
2002-11-30,RACKWICK,58.873,-3.387,Heavy Rain,Cool,
2002-12-31,RACKWICK,58.873,-3.387,Mild Rain,Cool,
2002-01-31,DUARTMORE BRIDGE,58.289,-5.072,Snowy,Cool,Partially Overcast
2002-02-28,DUARTMORE BRIDGE,58.289,-5.072,Heavy Rain,Cool,Partially Overcast
2002-03-31,DUARTMORE BRIDGE,58.289,-5.072,Mild Rain,Cool,Partially Overcast
2002-04-30,DUARTMORE BRIDGE,58.289,-5.072,Hail,Cool,Sunny
2002-05-31,DUARTMORE BRIDGE,58.289,-5.072,Drizzle,Mild,Sunny
2002-06-30,DUARTMORE BRIDGE,58.289,-5.072,Drizzle,Mild,Sunny
2002-07-31,DUARTMORE BRIDGE,58.289,-5.072,Mild Rain,Mild,Sunny
2002-08-31,DUARTMORE BRIDGE,58.289,-5.072,Drizzle,Mild,Sunny
2002-09-30,DUARTMORE BRIDGE,58.289,-5.072,Drizzle,Mild,Sunny
2002-10-31,DUARTMORE BRIDGE,58.289,-5.072,Mild Rain,Cool,Partially Overcast
2002-11-30,DUARTMORE BRIDGE,58.289,-5.072,Mild Rain,Cool,Partially Overcast
2002-12-31,DUARTMORE BRIDGE,58.289,-5.072,Drizzle,Cool,Partially Overcast
2002-01-31,CASSLEY,58.168,-4.727,Heavy Rain,Cool,
2002-02-28,CASSLEY,58.168,-4.727,Snowy,Cool,
2002-03-31,CASSLEY,58.168,-4.727,Heavy Rain,Cool,
2002-04-30,CASSLEY,58.168,-4.727,Mild Rain,Cool,
2002-05-31,CASSLEY,58.168,-4.727,Drizzle,Cool,
2002-06-30,CASSLEY,58.168,-4.727,Drizzle,Mild,
2002-07-31,CASSLEY,58.168,-4.727,,Mild,
2002-08-31,CASSLEY,58.168,-4.727,,Mild,
2002-09-30,CASSLEY,58.168,-4.727,,Cool,
2002-10-31,CASSLEY,58.168,-4.727,,Cool,
2002-11-30,CASSLEY,58.168,-4.727,,Cool,
2002-12-31,CASSLEY,58.168,-4.727,,Cold,
2002-01-31,STRATHY EAST,58.561,-3.992,Mild Rain,Cool,Partially Overcast
2002-02-28,STRATHY EAST,58.561,-3.992,Snowy,Cool,Partially Overcast
2002-03-31,STRATHY EAST,58.561,-3.992,Mild Rain,Cool,Sunny
2002-04-30,STRATHY EAST,58.561,-3.992,Drizzle,Cool,Sunny
2002-05-31,STRATHY EAST,58.561,-3.992,Drizzle,Cool,Sunny
2002-06-30,STRATHY EAST,58.561,-3.992,Drizzle,Mild,Sunny
2002-07-31,STRATHY EAST,58.561,-3.992,Mild Rain,Mild,Sunny
2002-08-31,STRATHY EAST,58.561,-3.992,Dry,Mild,Sunny
2002-09-30,STRATHY EAST,58.561,-3.992,Drizzle,Mild,Sunny
2002-10-31,STRATHY EAST,58.561,-3.992,Mild Rain,Cool,Partially Overcast
2002-11-30,STRATHY EAST,58.561,-3.992,Mild Rain,Cool,Partially Overcast
2002-12-31,STRATHY EAST,58.561,-3.992,Drizzle,Cool,Partially Overcast
2002-01-31,DIABAIG,57.579,-5.692,Heavy Rain,Cool,Partially Overcast
2002-02-28,DIABAIG,57.579,-5.692,Heavy Rain,Cool,Partially Overcast
2002-03-31,DIABAIG,57.579,-5.692,Hail,Cool,Partially Overcast
2002-04-30,DIABAIG,57.579,-5.692,Mild Rain,Cool,Sunny
2002-05-31,DIABAIG,57.579,-5.692,Mild Rain,Cool,Sunny
2002-06-30,DIABAIG,57.579,-5.692,Mild Rain,Mild,Sunny
2002-07-31,DIABAIG,57.579,-5.692,Mild Rain,Mild,Partially Overcast
2002-08-31,DIABAIG,57.579,-5.692,Drizzle,Mild,Sunny
2002-09-30,DIABAIG,57.579,-5.692,Drizzle,Mild,Sunny
2002-10-31,DIABAIG,57.579,-5.692,Mild Rain,Cool,Partially Overcast
2002-11-30,DIABAIG,57.579,-5.692,Mild Rain,Cool,Partially Overcast
2002-12-31,DIABAIG,57.579,-5.692,Dry,Cool,Partially Overcast
2002-01-31,POOLEWE,57.774,-5.597,Mild Rain,Cool,Partially Overcast
2002-02-28,POOLEWE,57.774,-5.597,Snowy,Cool,Partially Overcast
2002-03-31,POOLEWE,57.774,-5.597,Mild Rain,Cool,Sunny
2002-04-30,POOLEWE,57.774,-5.597,Mild Rain,Cool,Sunny
2002-05-31,POOLEWE,57.774,-5.597,Mild Rain,Mild,Sunny
2002-06-30,POOLEWE,57.774,-5.597,Mild Rain,Mild,Sunny
2002-07-31,POOLEWE,57.774,-5.597,Mild Rain,Mild,Sunny
2002-08-31,POOLEWE,57.774,-5.597,Drizzle,Mild,Sunny
2002-09-30,POOLEWE,57.774,-5.597,Drizzle,Mild,Sunny
