month,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
2009-01-31,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2009-02-28,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2009-03-31,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2009-04-30,ACHFARY,58.311,-4.916,Drizzle,Cool,
2009-05-31,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2009-06-30,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2009-07-31,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2009-08-31,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2009-09-30,ACHFARY,58.311,-4.916,Heavy Rain,Mild,
2009-10-31,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2009-11-30,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2009-12-31,ACHFARY,58.311,-4.916,Mild Rain,Cold,
2009-01-31,HUNTSHAM,50.953,-3.438,Mild Rain,Cool,
2009-02-28,HUNTSHAM,50.953,-3.438,Drizzle,Cool,
2009-03-31,HUNTSHAM,50.953,-3.438,Drizzle,Cool,
2009-04-30,HUNTSHAM,50.953,-3.438,Drizzle,Cool,
2009-05-31,HUNTSHAM,50.953,-3.438,Drizzle,Mild,
2009-06-30,HUNTSHAM,50.953,-3.438,Mild Rain,Mild,
2009-07-31,HUNTSHAM,50.953,-3.438,Mild Rain,Mild,
2009-08-31,HUNTSHAM,50.953,-3.438,Drizzle,Mild,
2009-09-30,HUNTSHAM,50.953,-3.438,Drizzle,Mild,
2009-10-31,HUNTSHAM,50.953,-3.438,Mild Rain,Cool,
2009-11-30,HUNTSHAM,50.953,-3.438,Mild Rain,Cool,
2009-12-31,HUNTSHAM,50.953,-3.438,Mild Rain,Cool,
2009-01-31,STRATHY EAST,58.561,-3.992,Drizzle,Cool,Partially Overcast
2009-02-28,STRATHY EAST,58.561,-3.992,Snowy,Cool,Partially Overcast
2009-03-31,STRATHY EAST,58.561,-3.992,Mild Rain,Cool,Sunny
2009-04-30,STRATHY EAST,58.561,-3.992,Drizzle,Cool,Sunny
2009-05-31,STRATHY EAST,58.561,-3.992,Drizzle,Cool,Sunny
2009-06-30,STRATHY EAST,58.561,-3.992,Drizzle,Mild,Sunny
2009-07-31,STRATHY EAST,58.561,-3.992,Mild Rain,Mild,Sunny
2009-08-31,STRATHY EAST,58.561,-3.992,Mild Rain,Mild,Sunny
2009-09-30,STRATHY EAST,58.561,-3.992,Mild Rain,Mild,Sunny
2009-10-31,STRATHY EAST,58.561,-3.992,Mild Rain,Cool,Partially Overcast
2009-11-30,STRATHY EAST,58.561,-3.992,Mild Rain,Cool,Partially Overcast
2009-12-31,STRATHY EAST,58.561,-3.992,Snowy,Cool,Partially Overcast
2009-01-31,DIABAIG,57.579,-5.692,Mild Rain,Cool,Partially Overcast
2009-02-28,DIABAIG,57.579,-5.692,Mild Rain,Cool,Partially Overcast
2009-03-31,DIABAIG,57.579,-5.692,Mild Rain,Cool,Partially Overcast
2009-04-30,DIABAIG,57.579,-5.692,Drizzle,Cool,Sunny
2009-05-31,DIABAIG,57.579,-5.692,Mild Rain,Cool,Sunny
2009-06-30,DIABAIG,57.579,-5.692,Mild Rain,Mild,Sunny
2009-07-31,DIABAIG,57.579,-5.692,Mild Rain,Mild,Sunny
2009-08-31,DIABAIG,57.579,-5.692,Mild Rain,Mild,Partially Overcast
2009-09-30,DIABAIG,57.579,-5.692,Mild Rain,Mild,Partially Overcast
2009-10-31,DIABAIG,57.579,-5.692,Mild Rain,Cool,Partially Overcast
2009-11-30,DIABAIG,57.579,-5.692,Mild Rain,Cool,Partially Overcast
2009-12-31,DIABAIG,57.579,-5.692,Snowy,Cool,Partially Overcast
2009-01-31,POOLEWE,57.774,-5.597,Heavy Rain,Cool,Partially Overcast
2009-02-28,POOLEWE,57.774,-5.597,Mild Rain,Cool,Partially Overcast
2009-03-31,POOLEWE,57.774,-5.597,Mild Rain,Cool,Partially Overcast
2009-04-30,POOLEWE,57.774,-5.597,Drizzle,Cool,Sunny
2009-05-31,POOLEWE,57.774,-5.597,Mild Rain,Cool,Sunny
2009-06-30,POOLEWE,57.774,-5.597,Drizzle,Mild,Sunny
2009-07-31,POOLEWE,57.774,-5.597,Mild Rain,Mild,Sunny
2009-08-31,POOLEWE,57.774,-5.597,Mild Rain,Mild,Sunny
2009-09-30,POOLEWE,57.774,-5.597,Mild Rain,Mild,Partially Overcast
2009-10-31,POOLEWE,57.774,-5.597,Mild Rain,Cool,Partially Overcast
2009-11-30,POOLEWE,57.774,-5.597,Mild Rain,Cool,Partially Overcast
2009-12-31,POOLEWE,57.774,-5.597,Snowy,Cool,Partially Overcast
2009-01-31,PLOCKTON,57.337,-5.653,Mild Rain,Cool,
2009-02-28,PLOCKTON,57.337,-5.653,Mild Rain,Cool,
2009-03-31,PLOCKTON,57.337,-5.653,Mild Rain,Cool,
2009-04-30,PLOCKTON,57.337,-5.653,Mild Rain,Cool,
2009-05-31,PLOCKTON,57.337,-5.653,Mild Rain,Cool,
2009-06-30,PLOCKTON,57.337,-5.653,Drizzle,Mild,
2009-07-31,PLOCKTON,57.337,-5.653,Mild Rain,Mild,
2009-08-31,PLOCKTON,57.337,-5.653,Mild Rain,Mild,
2009-09-30,PLOCKTON,57.337,-5.653,Mild Rain,Mild,
2009-10-31,PLOCKTON,57.337,-5.653,Mild Rain,Cool,
2009-11-30,PLOCKTON,57.337,-5.653,Heavy Rain,Cool,
2009-12-31,PLOCKTON,57.337,-5.653,Drizzle,Cool,
2009-01-31,RHUM: KINLOCH,57.014,-6.282,Heavy Rain,Cool,
2009-02-28,RHUM: KINLOCH,57.014,-6.282,Mild Rain,Cool,
2009-03-31,RHUM: KINLOCH,57.014,-6.282,Heavy Rain,Cool,
2009-04-30,RHUM: KINLOCH,57.014,-6.282,Dry,Cool,
2009-05-31,RHUM: KINLOCH,57.014,-6.282,Heavy Rain,Cool,
2009-06-30,RHUM: KINLOCH,57.014,-6.282,Heavy Rain,Mild,
2009-07-31,RHUM: KINLOCH,57.014,-6.282,Dry,Mild,
2009-08-31,RHUM: KINLOCH,57.014,-6.282,Heavy Rain,,
2009-09-30,RHUM: KINLOCH,57.014,-6.282,,,
2009-10-31,RHUM: KINLOCH,57.014,-6.282,,Cool,
2009-11-30,RHUM: KINLOCH,57.014,-6.282,Heavy Rain,Cool,
2009-12-31,RHUM: KINLOCH,57.014,-6.282,Heavy Rain,,
2009-01-31,INVERAILORT,56.872,-5.67,Heavy Rain,Cool,
2009-02-28,INVERAILORT,56.872,-5.67,Mild Rain,Cool,
2009-03-31,INVERAILORT,56.872,-5.67,Mild Rain,Cool,
2009-04-30,INVERAILORT,56.872,-5.67,Mild Rain,Cool,
2009-05-31,INVERAILORT,56.872,-5.67,Mild Rain,Mild,
2009-06-30,INVERAILORT,56.872,-5.67,Mild Rain,Mild,
2009-07-31,INVERAILORT,56.872,-5.67,Mild Rain,Mild,
2009-08-31,INVERAILORT,56.872,-5.67,Heavy Rain,Mild,
2009-09-30,INVERAILORT,56.872,-5.67,Heavy Rain,Mild,
2009-10-31,INVERAILORT,56.872,-5.67,Heavy Rain,Cool,
2009-11-30,INVERAILORT,56.872,-5.67,Heavy Rain,Cool,
2009-12-31,INVERAILORT,56.872,-5.67,Snowy,Cold,
2009-01-31,KILTARLITY,57.427,-4.497,Snowy,Cool,
2009-02-28,KILTARLITY,57.427,-4.497,Snowy,Cool,
2009-03-31,KILTARLITY,57.427,-4.497,Snowy,Cool,
2009-04-30,KILTARLITY,57.427,-4.497,Dry,Cool,
2009-05-31,KILTARLITY,57.427,-4.497,Drizzle,Mild,
2009-06-30,KILTARLITY,57.427,-4.497,Drizzle,Mild,
2009-07-31,KILTARLITY,57.427,-4.497,Mild Rain,Mild,
2009-08-31,KILTARLITY,57.427,-4.497,Mild Rain,Mild,
2009-09-30,KILTARLITY,57.427,-4.497,Drizzle,Mild,
2009-10-31,KILTARLITY,57.427,-4.497,Mild Rain,Cool,
2009-11-30,KILTARLITY,57.427,-4.497,Mild Rain,Cool,
2009-12-31,KILTARLITY,57.427,-4.497,Snowy,Cold,
2009-01-31,LENTRAN,57.459,-4.373,Snowy,Cool,
2009-02-28,LENTRAN,57.459,-4.373,Snowy,Cool,
2009-03-31,LENTRAN,57.459,-4.373,Snowy,Cool,
2009-04-30,LENTRAN,57.459,-4.373,Dry,Cool,
2009-05-31,LENTRAN,57.459,-4.373,Drizzle,Cool,
2009-06-30,LENTRAN,57.459,-4.373,Dry,Mild,
2009-07-31,LENTRAN,57.459,-4.373,Heavy Rain,Mild,
2009-08-31,LENTRAN,57.459,-4.373,,Mild,
2009-09-30,LENTRAN,57.459,-4.373,,Cool,
2009-10-31,LENTRAN,57.459,-4.373,,Cool,
2009-11-30,LENTRAN,57.459,-4.373,,Cool,
2009-12-31,LENTRAN,57.459,-4.373,,Cold,
2009-01-31,DRUMNADROCHIT,57.328,-4.486,Snowy,Cool,
2009-02-28,DRUMNADROCHIT,57.328,-4.486,Dry,Cool,
2009-03-31,DRUMNADROCHIT,57.328,-4.486,Mild Rain,Cool,
2009-04-30,DRUMNADROCHIT,57.328,-4.486,Dry,Cool,
2009-05-31,DRUMNADROCHIT,57.328,-4.486,Drizzle,Mild,
2009-06-30,DRUMNADROCHIT,57.328,-4.486,Mild Rain,Mild,
2009-07-31,DRUMNADROCHIT,57.328,-4.486,Mild Rain,Mild,
2009-08-31,DRUMNADROCHIT,57.328,-4.486,Mild Rain,Mild,
2009-09-30,DRUMNADROCHIT,57.328,-4.486,Mild Rain,Mild,
2009-10-31,DRUMNADROCHIT,57.328,-4.486,Dry,Cool,
2009-11-30,DRUMNADROCHIT,57.328,-4.486,Heavy Rain,Cool,
2009-12-31,DRUMNADROCHIT,57.328,-4.486,Dry,Cold,
2009-01-31,INVERNESS,57.486,-4.222,Dry,Cool,Partially Overcast
2009-02-28,INVERNESS,57.486,-4.222,Heavy Rain,Cool,Partially Overcast
2009-03-31,INVERNESS,57.486,-4.222,Mild Rain,Cool,Sunny
2009-04-30,INVERNESS,57.486,-4.222,Dry,Cool,Sunny
2009-05-31,INVERNESS,57.486,-4.222,Dry,Mild,Sunny
2009-06-30,INVERNESS,57.486,-4.222,Mild Rain,Mild,Sunny
2009-07-31,INVERNESS,57.486,-4.222,Dry,Mild,Sunny
2009-08-31,INVERNESS,57.486,-4.222,Mild Rain,Mild,Sunny
2009-09-30,INVERNESS,57.486,-4.222,Mild Rain,Mild,Sunny
2009-10-31,INVERNESS,57.486,-4.222,Dry,Cool,Partially Overcast
2009-11-30,INVERNESS,57.486,-4.222,Heavy Rain,Cool,Partially Overcast
2009-12-31,INVERNESS,57.486,-4.222,Heavy Rain,Cool,Partially Overcast
2009-01-31,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Cold,
2009-02-28,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Cold,
2009-03-31,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Cool,
2009-04-30,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Cool,
2009-05-31,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Cool,
2009-06-30,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Cool,
2009-07-31,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Mild,
2009-08-31,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Cool,
2009-09-30,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Cool,
2009-10-31,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Cool,
2009-11-30,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Cool,
2009-12-31,CAIRNGORM CHAIRLIFT,57.133,-3.669,,Cold,
2009-01-31,"BANFF, GOLF CLUB",57.661,-2.521,Dry,Cool,
2009-02-28,"BANFF, GOLF CLUB",57.661,-2.521,Snowy,Cool,
2009-03-31,"BANFF, GOLF CLUB",57.661,-2.521,Drizzle,Cool,
2009-04-30,"BANFF, GOLF CLUB",57.661,-2.521,Dry,Cool,
2009-05-31,"BANFF, GOLF CLUB",57.661,-2.521,Drizzle,Cool,
2009-06-30,"BANFF, GOLF CLUB",57.661,-2.521,Drizzle,Mild,
2009-07-31,"BANFF, GOLF CLUB",57.661,-2.521,Mild Rain,Mild,
2009-08-31,"BANFF, GOLF CLUB",57.661,-2.521,Mild Rain,Mild,
2009-09-30,"BANFF, GOLF CLUB",57.661,-2.521,Mild Rain,Mild,
2009-10-31,"BANFF, GOLF CLUB",57.661,-2.521,Mild Rain,Cool,
2009-11-30,"BANFF, GOLF CLUB",57.661,-2.521,Mild Rain,Cool,
2009-12-31,"BANFF, GOLF CLUB",57.661,-2.521,Snowy,Cool,
2009-01-31,BALMORAL,57.037,-3.22,Snowy,Cold,
2009-02-28,BALMORAL,57.037,-3.22,Snowy,Cool,
2009-03-31,BALMORAL,57.037,-3.22,Snowy,Cool,
2009-04-30,BALMORAL,57.037,-3.22,Dry,Cool,
2009-05-31,BALMORAL,57.037,-3.22,Drizzle,Cool,
2009-06-30,BALMORAL,57.037,-3.22,Drizzle,Mild,
2009-07-31,BALMORAL,57.037,-3.22,Mild Rain,Mild,
2009-08-31,BALMORAL,57.037,-3.22,Drizzle,Mild,
2009-09-30,BALMORAL,57.037,-3.22,Drizzle,Mild,
2009-10-31,BALMORAL,57.037,-3.22,Mild Rain,Cool,
2009-11-30,BALMORAL,57.037,-3.22,Mild Rain,Cool,
2009-12-31,BALMORAL,57.037,-3.22,Snowy,Freezing,
2009-01-31,CRAIBSTONE,57.187,-2.215,Drizzle,Cool,
2009-02-28,CRAIBSTONE,57.187,-2.215,Snowy,Cool,
2009-03-31,CRAIBSTONE,57.187,-2.215,Drizzle,Cool,
2009-04-30,CRAIBSTONE,57.187,-2.215,Drizzle,Cool,
2009-05-31,CRAIBSTONE,57.187,-2.215,Mild Rain,Cool,
2009-06-30,CRAIBSTONE,57.187,-2.215,Drizzle,Mild,
2009-07-31,CRAIBSTONE,57.187,-2.215,Mild Rain,Mild,
2009-08-31,CRAIBSTONE,57.187,-2.215,Drizzle,Mild,
2009-09-30,CRAIBSTONE,57.187,-2.215,Mild Rain,Mild,
2009-10-31,CRAIBSTONE,57.187,-2.215,Mild Rain,Cool,
2009-11-30,CRAIBSTONE,57.187,-2.215,Mild Rain,Cool,
2009-12-31,CRAIBSTONE,57.187,-2.215,Snowy,Cold,
