station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,cs_24hr_sun_dur,wmo_24hr_sun_dur,conc_state_id,lying_snow_flag,snow_depth,frsh_snw_amt,snow_day_id,hail_day_id,thunder_day_flag,gale_day_flag,frsh_mnt_snwfall_flag,drv_24hr_sun_dur,lying_snow_ht,prcp_amt,meto_stmp_time
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast,7.058064516129033,1.767741935483871,,,0.29354838709677417,,,,,,,,,,,,,5.122580645161291,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast,5.196428571428571,2.1821428571428574,,,0.8785714285714287,,,,,,,,,,,,,4.107142857142857,
BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny,7.993548387096775,2.6548387096774193,,,3.4129032258064513,,,,,,,,,,,,,1.2161290322580647,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny,7.493333333333334,2.8833333333333333,,,4.569999999999999,,,,,,,,,,,,,2.8333333333333335,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny,9.251612903225807,3.9064516129032256,,,4.383870967741935,,,,,,,,,,,,,3.9516129032258065,
BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny,10.533333333333333,5.86,,,4.1066666666666665,,,,,,,,,,,,,2.2366666666666664,
BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny,14.541935483870969,8.609677419354838,,,4.161290322580645,,,,,,,,,,,,,1.8193548387096774,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny,13.803225806451614,8.693548387096774,,,3.274193548387097,,,,,,,,,,,,,2.9419354838709677,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny,12.06,6.180000000000001,,,3.4866666666666664,,,,,,,,,,,,,5.233333333333333,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast,9.87741935483871,5.429032258064517,,,2.4741935483870967,,,,,,,,,,,,,4.025806451612903,
BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Partially Overcast,6.11,1.7133333333333334,,,1.0333333333333334,,,,,,,,,,,,,7.676666666666667,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast,5.425806451612903,0.041935483870967724,,,0.5387096774193548,,,,,,,,,,,,,4.664516129032258,
FORT AUGUSTUS,57.144,-4.677,Mild Rain,Cool,,8.386666666666667,2.5866666666666664,,,,,,,,,,,,,,,,6.966666666666667,
FORT AUGUSTUS,57.144,-4.677,Mild Rain,Cool,,7.246153846153846,2.076923076923077,,,,,,,,,,,,,,,,5.294117647058823,
FORT AUGUSTUS,57.144,-4.677,Drizzle,Cool,,9.86774193548387,2.270967741935484,,,,,,,,,,,,,,,,1.7692307692307692,
FORT AUGUSTUS,57.144,-4.677,Mild Rain,Cool,,9.626666666666667,2.2766666666666664,,,,,,,,,,,,,,,,3.7199999999999998,
FORT AUGUSTUS,57.144,-4.677,Mild Rain,Cool,,10.129032258064516,3.2774193548387096,,,,,,,,,,,,,,,,3.752,
FORT AUGUSTUS,57.144,-4.677,Mild Rain,Cool,,14.770000000000001,7.203333333333333,,,,,,,,,,,,,,,,3.33125,
FORT AUGUSTUS,57.144,-4.677,Mild Rain,Mild,,17.55806451612903,11.093548387096773,,,,,,,,,,,,,,,,2.8760000000000003,
FORT AUGUSTUS,57.144,-4.677,Mild Rain,Mild,,16.125806451612906,9.216129032258063,,,,,,,,,,,,,,,,4.918518518518518,
FORT AUGUSTUS,57.144,-4.677,Mild Rain,Cool,,14.076666666666666,6.75,,,,,,,,,,,,,,,,4.595454545454545,
FORT AUGUSTUS,57.144,-4.677,Mild Rain,Cool,,10.858064516129033,5.383870967741935,,,,,,,,,,,,,,,,6.403448275862068,
FORT AUGUSTUS,57.144,-4.677,Mild Rain,Cool,,5.5344827586206895,-0.2689655172413793,,,,,,,,,,,,,,,,6.12,
FORT AUGUSTUS,57.144,-4.677,Mild Rain,Cool,,6.727586206896552,-0.23103448275862065,,,,,,,,,,,,,,,,2.903448275862069,
GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast,8.3,2.5903225806451613,,,1.2000000000000002,,,,,,,,,,,,,2.3,
GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,6.307142857142857,2.2357142857142858,,,1.6392857142857142,,,,,,,,,,,,,3.664285714285714,
GORDON CASTLE,57.621,-3.09,Dry,Cool,Sunny,10.193548387096774,1.8387096774193548,,,5.438709677419355,,,,,,,,,,,,,0.5516129032258065,
GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Sunny,9.479999999999999,2.4099999999999997,,,4.326666666666667,,,,,,,,,,,,,1.14,
GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Sunny,10.483870967741936,3.97741935483871,,,4.119354838709677,,,,,,,,,,,,,4.164516129032258,
GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Sunny,14.856666666666666,7.046666666666667,,,4.486666666666666,,,,,,,,,,,,,1.2433333333333332,
GORDON CASTLE,57.621,-3.09,Drizzle,Mild,Sunny,19.39032258064516,11.629032258064516,,,4.203225806451614,,,,,,,,,,,,,1.264516129032258,
GORDON CASTLE,57.621,-3.09,Mild Rain,Mild,Sunny,16.822580645161292,9.370967741935484,,,4.348387096774194,,,,,,,,,,,,,4.225806451612903,
GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Sunny,14.636666666666667,6.8933333333333335,,,4.12,,,,,,,,,,,,,2.6533333333333333,
GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Sunny,11.993548387096775,4.661290322580645,,,3.4612903225806453,,,,,,,,,,,,,2.770967741935484,
GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,6.176666666666667,0.03000000000000002,,,1.9533333333333334,,,,,,,,,,,,,4.33,
GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,5.326666666666667,0.5700000000000001,,,0.7612903225806452,,,,,,,,,,,,,2.519354838709677,
