date,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
2015-01-01,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-02,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-03,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-04,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-05,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-01-06,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-07,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-08,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-09,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-10,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-11,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-12,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-13,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-14,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-01-15,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-01-16,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-17,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-01-18,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-01-19,ACHFARY,58.311,-4.916,Mild Rain,Cold,
2015-01-20,ACHFARY,58.311,-4.916,Dry,Cold,
2015-01-21,ACHFARY,58.311,-4.916,Snowy,Cold,
2015-01-22,ACHFARY,58.311,-4.916,Dry,Cold,
2015-01-23,ACHFARY,58.311,-4.916,Dry,Cool,
2015-01-24,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-25,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-26,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-27,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-28,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-01-29,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-01-30,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-01-31,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-02-01,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-02-02,ACHFARY,58.311,-4.916,Dry,Cold,
2015-02-03,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-02-04,ACHFARY,58.311,-4.916,Mild Rain,Cold,
2015-02-05,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-02-06,ACHFARY,58.311,-4.916,Dry,Cool,
2015-02-07,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-02-08,ACHFARY,58.311,-4.916,Dry,Cool,
2015-02-09,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-02-10,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-02-11,ACHFARY,58.311,-4.916,Dry,Cool,
2015-02-12,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-02-13,ACHFARY,58.311,-4.916,Dry,Cool,
2015-02-14,ACHFARY,58.311,-4.916,Dry,Cool,
2015-02-15,ACHFARY,58.311,-4.916,Dry,Cool,
2015-02-16,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-02-17,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-02-18,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-02-19,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-02-20,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-02-21,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-02-22,ACHFARY,58.311,-4.916,Mild Rain,Cold,
2015-02-23,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-02-24,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-02-25,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-02-26,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-02-27,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-02-28,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-03-01,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-02,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-03,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-03-04,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-03-05,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-03-06,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-07,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-08,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-09,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-03-10,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-11,ACHFARY,58.311,-4.916,Dry,Cool,
2015-03-12,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-03-13,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-03-14,ACHFARY,58.311,-4.916,Dry,Cool,
2015-03-15,ACHFARY,58.311,-4.916,Dry,Cool,
2015-03-16,ACHFARY,58.311,-4.916,Dry,Cool,
2015-03-17,ACHFARY,58.311,-4.916,Dry,Cool,
2015-03-18,ACHFARY,58.311,-4.916,Dry,Cool,
2015-03-19,ACHFARY,58.311,-4.916,Dry,Cool,
2015-03-20,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-21,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-03-22,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-03-23,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-24,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-25,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-03-26,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-03-27,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-03-28,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-29,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-30,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-03-31,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-04-01,ACHFARY,58.311,-4.916,Heavy Rain,Cold,
2015-04-02,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-04-03,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-04-04,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-04-05,ACHFARY,58.311,-4.916,Dry,Cool,
2015-04-06,ACHFARY,58.311,-4.916,Dry,Mild,
2015-04-07,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-04-08,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-04-09,ACHFARY,58.311,-4.916,Dry,Cool,
2015-04-10,ACHFARY,58.311,-4.916,Dry,Cool,
2015-04-11,ACHFARY,58.311,-4.916,Heavy Rain,Mild,
2015-04-12,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-04-13,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-04-14,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-04-15,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-04-16,ACHFARY,58.311,-4.916,Dry,Cool,
2015-04-17,ACHFARY,58.311,-4.916,Dry,Cool,
2015-04-18,ACHFARY,58.311,-4.916,Dry,Cool,
2015-04-19,ACHFARY,58.311,-4.916,Dry,Mild,
2015-04-20,ACHFARY,58.311,-4.916,Dry,Mild,
2015-04-21,ACHFARY,58.311,-4.916,Dry,Mild,
2015-04-22,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-04-23,ACHFARY,58.311,-4.916,Dry,Mild,
2015-04-24,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-04-25,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-04-26,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-04-27,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-04-28,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-04-29,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-04-30,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-05-01,ACHFARY,58.311,-4.916,Dry,Cool,
2015-05-02,ACHFARY,58.311,-4.916,Dry,Cool,
2015-05-03,ACHFARY,58.311,-4.916,Dry,Cool,
2015-05-04,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-05-05,ACHFARY,58.311,-4.916,Dry,Cool,
2015-05-06,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-05-07,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-05-08,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-05-09,ACHFARY,58.311,-4.916,Dry,Cool,
2015-05-10,ACHFARY,58.311,-4.916,Dry,Cool,
2015-05-11,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-05-12,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-05-13,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-05-14,ACHFARY,58.311,-4.916,Dry,Cool,
2015-05-15,ACHFARY,58.311,-4.916,Dry,Cool,
2015-05-16,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-05-17,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-05-18,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-05-19,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-05-20,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-05-21,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-05-22,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-05-23,ACHFARY,58.311,-4.916,Dry,Cool,
2015-05-24,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-05-25,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-05-26,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-05-27,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-05-28,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-05-29,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-05-30,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-05-31,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-06-01,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-06-02,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-06-03,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-06-04,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-06-05,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-06-06,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-06-07,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-06-08,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2015-06-09,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-06-10,ACHFARY,58.311,-4.916,Dry,Cool,
2015-06-11,ACHFARY,58.311,-4.916,Dry,Cool,
2015-06-12,ACHFARY,58.311,-4.916,Dry,Cool,
2015-06-13,ACHFARY,58.311,-4.916,Dry,Cool,
2015-06-14,ACHFARY,58.311,-4.916,Dry,Cool,
2015-06-15,ACHFARY,58.311,-4.916,Dry,Cool,
2015-06-16,ACHFARY,58.311,-4.916,Dry,Cool,
2015-06-17,ACHFARY,58.311,-4.916,Heavy Rain,Mild,
2015-06-18,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-06-19,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-06-20,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-06-21,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2015-06-22,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2015-06-23,ACHFARY,58.311,-4.916,Dry,Cool,
2015-06-24,ACHFARY,58.311,-4.916,Dry,Cool,
2015-06-25,ACHFARY,58.311,-4.916,Drizzle,Cool,
2015-06-26,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2015-06-27,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2015-06-28,ACHFARY,58.311,-4.916,Heavy Rain,Mild,
2015-06-29,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2015-06-30,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2015-07-01,ACHFARY,58.311,-4.916,Dry,Mild,
2015-07-02,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2015-07-03,ACHFARY,58.311,-4.916,Drizzle,Mild,
2015-07-04,ACHFARY,58.311,-4.916,Dry,Mild,
