month,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
1999-01-31,FOULA,60.154,-2.074,Mild Rain,Cool,
1999-02-28,FOULA,60.154,-2.074,Hail,Cool,
1999-03-31,FOULA,60.154,-2.074,Mild Rain,Cool,
1999-04-30,FOULA,60.154,-2.074,Mild Rain,Cool,
1999-05-31,FOULA,60.154,-2.074,Mild Rain,Cool,
1999-06-30,FOULA,60.154,-2.074,Mild Rain,Cool,
1999-07-31,FOULA,60.154,-2.074,Drizzle,Cool,
1999-08-31,FOULA,60.154,-2.074,Drizzle,Cool,
1999-09-30,FOULA,60.154,-2.074,Mild Rain,Cool,
1999-10-31,FOULA,60.154,-2.074,Mild Rain,Cool,
1999-11-30,FOULA,60.154,-2.074,Mild Rain,Cool,
1999-12-31,FOULA,60.154,-2.074,Snowy,Cool,
1999-01-31,RACKWICK,58.873,-3.387,Hail,Cool,
1999-02-28,RACKWICK,58.873,-3.387,Snowy,Cool,
1999-03-31,RACKWICK,58.873,-3.387,Hail,Cool,
1999-04-30,RACKWICK,58.873,-3.387,Hail,Cool,
1999-05-31,RACKWICK,58.873,-3.387,Drizzle,Cool,
1999-06-30,RACKWICK,58.873,-3.387,Mild Rain,Cool,
1999-07-31,RACKWICK,58.873,-3.387,Drizzle,Mild,
1999-08-31,RACKWICK,58.873,-3.387,Drizzle,Mild,
1999-09-30,RACKWICK,58.873,-3.387,Mild Rain,Mild,
1999-10-31,RACKWICK,58.873,-3.387,Gale,Cool,
1999-11-30,RACKWICK,58.873,-3.387,Hail,Cool,
1999-12-31,RACKWICK,58.873,-3.387,Heavy Rain,,
1999-01-31,DUARTMORE BRIDGE,58.289,-5.072,Mild Rain,Cool,Partially Overcast
1999-02-28,DUARTMORE BRIDGE,58.289,-5.072,Snowy,Cool,Partially Overcast
1999-03-31,DUARTMORE BRIDGE,58.289,-5.072,Mild Rain,Cool,Partially Overcast
1999-04-30,DUARTMORE BRIDGE,58.289,-5.072,Snowy,Cool,Sunny
1999-05-31,DUARTMORE BRIDGE,58.289,-5.072,Mild Rain,Cool,Sunny
1999-06-30,DUARTMORE BRIDGE,58.289,-5.072,Mild Rain,Mild,Sunny
1999-07-31,DUARTMORE BRIDGE,58.289,-5.072,Mild Rain,Mild,Sunny
1999-08-31,DUARTMORE BRIDGE,58.289,-5.072,Drizzle,Mild,Sunny
1999-09-30,DUARTMORE BRIDGE,58.289,-5.072,Mild Rain,Mild,Sunny
1999-10-31,DUARTMORE BRIDGE,58.289,-5.072,Gale,Cool,Partially Overcast
1999-11-30,DUARTMORE BRIDGE,58.289,-5.072,Hail,Cool,Partially Overcast
1999-12-31,DUARTMORE BRIDGE,58.289,-5.072,Snowy,Cool,Partially Overcast
1999-01-31,CASSLEY,58.168,-4.727,Heavy Rain,Cool,
1999-02-28,CASSLEY,58.168,-4.727,Dry,Cool,
1999-03-31,CASSLEY,58.168,-4.727,Heavy Rain,Cool,
1999-04-30,CASSLEY,58.168,-4.727,Heavy Rain,Cool,
1999-05-31,CASSLEY,58.168,-4.727,Dry,Cool,
1999-06-30,CASSLEY,58.168,-4.727,Heavy Rain,Cool,
1999-07-31,CASSLEY,58.168,-4.727,Mild Rain,Mild,
1999-08-31,CASSLEY,58.168,-4.727,Dry,Mild,
1999-09-30,CASSLEY,58.168,-4.727,Gale,Mild,
1999-10-31,CASSLEY,58.168,-4.727,Heavy Rain,Cool,
1999-11-30,CASSLEY,58.168,-4.727,Gale,Cool,
1999-12-31,CASSLEY,58.168,-4.727,Snowy,Cold,
1999-01-31,LAIRG NO 2,58.019,-4.407,Snowy,Cool,Partially Overcast
1999-02-28,LAIRG NO 2,58.019,-4.407,Snowy,Cool,Partially Overcast
1999-03-31,LAIRG NO 2,58.019,-4.407,Snowy,Cool,Sunny
1999-04-30,LAIRG NO 2,58.019,-4.407,Snowy,Cool,Sunny
1999-05-31,LAIRG NO 2,58.019,-4.407,Mild Rain,Cool,Sunny
1999-06-30,LAIRG NO 2,58.019,-4.407,Mild Rain,Mild,Sunny
1999-07-31,LAIRG NO 2,58.019,-4.407,Thunderstorm,Mild,Sunny
1999-08-31,LAIRG NO 2,58.019,-4.407,Drizzle,Mild,Sunny
1999-09-30,LAIRG NO 2,58.019,-4.407,Mild Rain,Mild,Sunny
1999-10-31,LAIRG NO 2,58.019,-4.407,Hail,Cool,Partially Overcast
1999-11-30,LAIRG NO 2,58.019,-4.407,Snowy,Cool,Partially Overcast
1999-12-31,LAIRG NO 2,58.019,-4.407,Snowy,Cold,Partially Overcast
1999-01-31,"KINBRACE, HATCHERY",58.23,-3.922,Snowy,Cool,Partially Overcast
1999-02-28,"KINBRACE, HATCHERY",58.23,-3.922,Snowy,Cool,Partially Overcast
1999-03-31,"KINBRACE, HATCHERY",58.23,-3.922,Snowy,Cool,Sunny
1999-04-30,"KINBRACE, HATCHERY",58.23,-3.922,Snowy,Cool,Sunny
