date,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,cs_24hr_sun_dur,wmo_24hr_sun_dur,conc_state_id,lying_snow_flag,snow_depth,frsh_snw_amt,snow_day_id,hail_day_id,thunder_day_flag,gale_day_flag,frsh_mnt_snwfall_flag,drv_24hr_sun_dur,lying_snow_ht,prcp_amt,meto_stmp_time
1911-01-01,GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,8.9,1.1,,,0.3,,,,,,,,,,,,,2.5,
1911-01-02,GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,10.0,1.9,,,0.1,,,,,,,,,,,,,3.3,
1911-01-03,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,5.6,-2.8,,,2.2,,,,,,,,,,,,,0.0,
1911-01-04,GORDON CASTLE,57.621,-3.09,Dry,Cold,Partially Overcast,5.0,-3.9,,,0.0,,,,,,,,,,,,,0.0,
1911-01-05,GORDON CASTLE,57.621,-3.09,Drizzle,Cold,Sunny,2.2,-0.3,,,4.4,,,,,,,,,,,,,2.0,
1911-01-06,GORDON CASTLE,57.621,-3.09,Dry,Cold,Partially Overcast,3.9,0.8,,,0.2,,,,,,,,,,,,,0.3,
1911-01-07,GORDON CASTLE,57.621,-3.09,Dry,Cold,Partially Overcast,5.0,0.0,,,0.5,,,,,,,,,,,,,0.8,
1911-01-08,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,7.8,1.7,,,0.4,,,,,,,,,,,,,0.8,
1911-01-09,GORDON CASTLE,57.621,-3.09,Dry,Cool,Sunny,8.9,0.7,,,4.5,,,,,,,,,,,,,0.0,
1911-01-10,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast,5.6,1.1,,,2.0,,,,,,,,,,,,,1.3,
1911-01-11,GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,5.6,-0.3,,,0.0,,,,,,,,,,,,,4.6,
1911-01-12,GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,5.8,-0.6,,,0.0,,,,,,,,,,,,,4.6,
1911-01-13,GORDON CASTLE,57.621,-3.09,Mild Rain,Cold,Partially Overcast,3.9,-0.3,,,0.0,,,,,,,,,,,,,2.5,
1911-01-14,GORDON CASTLE,57.621,-3.09,Dry,Cold,Partially Overcast,4.2,2.2,,,1.5,,,,,,,,,,,,,0.3,
1911-01-15,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,7.2,4.4,,,1.0,,,,,,,,,,,,,0.0,
1911-01-16,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,8.6,1.9,,,2.4,,,,,,,,,,,,,0.0,
1911-01-17,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,8.9,5.0,,,0.5,,,,,,,,,,,,,0.0,
1911-01-18,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,11.1,5.3,,,0.8,,,,,,,,,,,,,0.0,
1911-01-19,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,10.6,4.4,,,1.7,,,,,,,,,,,,,0.0,
1911-01-20,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,9.4,3.9,,,2.6,,,,,,,,,,,,,0.0,
1911-01-21,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,10.6,2.5,,,2.4,,,,,,,,,,,,,0.0,
1911-01-22,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,9.2,1.7,,,0.0,,,,,,,,,,,,,0.5,
1911-01-23,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,6.7,1.4,,,2.8,,,,,,,,,,,,,0.0,
1911-01-24,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,6.4,2.2,,,0.1,,,,,,,,,,,,,0.0,
1911-01-25,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast,10.3,3.3,,,0.2,,,,,,,,,,,,,1.5,
1911-01-26,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast,8.3,2.2,,,0.0,,,,,,,,,,,,,1.0,
1911-01-27,GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,8.6,5.3,,,0.0,,,,,,,,,,,,,3.6,
1911-01-28,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast,9.4,1.1,,,0.5,,,,,,,,,,,,,1.0,
1911-01-29,GORDON CASTLE,57.621,-3.09,Dry,Cool,Sunny,8.9,3.9,,,3.5,,,,,,,,,,,,,0.0,
1911-01-30,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,8.6,-1.1,,,0.0,,,,,,,,,,,,,0.0,
1911-01-31,GORDON CASTLE,57.621,-3.09,Dry,Cool,Sunny,5.6,-3.3,,,6.2,,,,,,,,,,,,,0.0,
1911-02-01,GORDON CASTLE,57.621,-3.09,Dry,Freezing,Sunny,5.0,-5.3,,,5.9,,,,,,,,,,,,,0.0,
1911-02-02,GORDON CASTLE,57.621,-3.09,Dry,Cold,Partially Overcast,5.0,-3.3,,,1.2,,,,,,,,,,,,,0.0,
1911-02-03,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,6.1,2.8,,,0.0,,,,,,,,,,,,,0.3,
1911-02-04,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,7.8,3.3,,,0.0,,,,,,,,,,,,,0.0,
1911-02-05,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,6.4,1.7,,,0.0,,,,,,,,,,,,,0.0,
1911-02-06,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,5.6,1.9,,,0.0,,,,,,,,,,,,,0.0,
1911-02-07,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast,6.7,-1.9,,,0.0,,,,,,,,,,,,,1.5,
1911-02-08,GORDON CASTLE,57.621,-3.09,Dry,Cool,Sunny,6.7,-2.8,,,4.4,,,,,,,,,,,,,0.0,
1911-02-09,GORDON CASTLE,57.621,-3.09,Dry,Cool,Sunny,5.6,-2.2,,,4.5,,,,,,,,,,,,,0.0,
1911-02-10,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,7.8,-2.2,,,0.0,,,,,,,,,,,,,0.0,
1911-02-11,GORDON CASTLE,57.621,-3.09,Dry,Cool,Sunny,6.1,-1.7,,,7.4,,,,,,,,,,,,,0.0,
1911-02-12,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,8.3,0.0,,,2.5,,,,,,,,,,,,,0.0,
1911-02-13,GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,8.3,5.8,,,0.0,,,,,,,,,,,,,3.3,
1911-02-14,GORDON CASTLE,57.621,-3.09,Dry,Cool,Partially Overcast,11.4,4.4,,,1.1,,,,,,,,,,,,,0.3,
1911-02-15,GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,10.6,0.8,,,2.8,,,,,,,,,,,,,5.8,
1911-02-16,GORDON CASTLE,57.621,-3.09,Dry,Cool,Sunny,7.4,2.2,,,5.3,,,,,,,,,,,,,0.5,
1911-02-17,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast,14.4,3.9,,,0.0,,,,,,,,,,,,,1.0,
1911-02-18,GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast,10.2,3.1,,,0.8,,,,,,,,,,,,,6.9,
