month,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
1909-01-31,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast
1909-02-28,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast
1909-03-31,GORDON CASTLE,57.621,-3.09,Mild Rain,Cold,Partially Overcast
1909-04-30,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Sunny
1909-05-31,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Sunny
1909-06-30,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Sunny
1909-07-31,GORDON CASTLE,57.621,-3.09,Drizzle,Mild,Sunny
1909-08-31,GORDON CASTLE,57.621,-3.09,Drizzle,Mild,Sunny
1909-09-30,GORDON CASTLE,57.621,-3.09,Mild Rain,Mild,Sunny
1909-10-31,GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Sunny
1909-11-30,GORDON CASTLE,57.621,-3.09,Mild Rain,Cool,Partially Overcast
1909-12-31,GORDON CASTLE,57.621,-3.09,Drizzle,Cool,Partially Overcast
1909-01-31,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Partially Overcast
1909-02-28,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Partially Overcast
1909-03-31,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast
1909-04-30,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cool,Sunny
1909-05-31,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Sunny
1909-06-30,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Sunny
1909-07-31,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Mild,Sunny
1909-08-31,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Mild,Sunny
1909-09-30,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Partially Overcast
1909-10-31,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Sunny
1909-11-30,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Sunny
1909-12-31,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cool,Partially Overcast
1909-01-31,DURHAM,54.768,-1.586,Dry,Cool,Partially Overcast
1909-02-28,DURHAM,54.768,-1.586,Drizzle,Cool,Partially Overcast
1909-03-31,DURHAM,54.768,-1.586,Mild Rain,Cool,Partially Overcast
1909-04-30,DURHAM,54.768,-1.586,Drizzle,Cool,Sunny
