station_latitude,station_longitude,weather_classifier,temp_category,station_name,date
58.311,-4.916,Mild Rain,Cool,ACHFARY,2016-01-01
58.311,-4.916,Dry,Cool,ACHFARY,2016-01-02
58.311,-4.916,Drizzle,Cool,ACHFARY,2016-01-03
58.311,-4.916,Mild Rain,Cool,ACHFARY,2016-01-04
58.311,-4.916,Drizzle,Cool,ACHFARY,2016-01-05
58.311,-4.916,Dry,Cold,ACHFARY,2016-01-06
58.311,-4.916,Dry,Cool,ACHFARY,2016-01-07
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-01-08
58.311,-4.916,Dry,Cold,ACHFARY,2016-01-09
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-01-10
58.311,-4.916,Heavy Rain,Cold,ACHFARY,2016-01-11
58.311,-4.916,Drizzle,Cold,ACHFARY,2016-01-12
58.311,-4.916,Snowy,Cold,ACHFARY,2016-01-13
58.311,-4.916,Snowy,Cold,ACHFARY,2016-01-14
58.311,-4.916,Snowy,Cold,ACHFARY,2016-01-15
58.311,-4.916,Snowy,Cold,ACHFARY,2016-01-16
58.311,-4.916,Dry,Cold,ACHFARY,2016-01-17
58.311,-4.916,Dry,Cold,ACHFARY,2016-01-18
58.311,-4.916,Dry,Cold,ACHFARY,2016-01-19
58.311,-4.916,Dry,Cold,ACHFARY,2016-01-20
58.311,-4.916,Dry,Cold,ACHFARY,2016-01-21
58.311,-4.916,Mild Rain,Cool,ACHFARY,2016-01-22
58.311,-4.916,Mild Rain,Cool,ACHFARY,2016-01-23
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-01-24
58.311,-4.916,Mild Rain,Mild,ACHFARY,2016-01-25
58.311,-4.916,Heavy Rain,Mild,ACHFARY,2016-01-26
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-01-27
58.311,-4.916,Thunderstorm,Cool,ACHFARY,2016-01-28
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-01-29
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-01-30
58.311,-4.916,Snowy,Cold,ACHFARY,2016-01-31
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-01
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-02
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-03
58.311,-4.916,Heavy Rain,Cold,ACHFARY,2016-02-04
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-05
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-06
58.311,-4.916,Mild Rain,Cool,ACHFARY,2016-02-07
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-08
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-09
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-10
58.311,-4.916,Mild Rain,Cool,ACHFARY,2016-02-11
58.311,-4.916,Drizzle,Cool,ACHFARY,2016-02-12
58.311,-4.916,Mild Rain,Cold,ACHFARY,2016-02-13
58.311,-4.916,Dry,Cool,ACHFARY,2016-02-14
58.311,-4.916,Mild Rain,Cold,ACHFARY,2016-02-15
58.311,-4.916,Dry,Cool,ACHFARY,2016-02-16
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-17
58.311,-4.916,Mild Rain,Cold,ACHFARY,2016-02-18
58.311,-4.916,Mild Rain,Cool,ACHFARY,2016-02-19
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-20
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-21
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-02-22
58.311,-4.916,Snowy,Cool,ACHFARY,2016-02-23
58.311,-4.916,Snowy,Cold,ACHFARY,2016-02-24
58.311,-4.916,Snowy,Cold,ACHFARY,2016-02-25
58.311,-4.916,Snowy,Cold,ACHFARY,2016-02-26
58.311,-4.916,Dry,Cold,ACHFARY,2016-02-27
58.311,-4.916,Dry,Cool,ACHFARY,2016-02-28
58.311,-4.916,Dry,Cool,ACHFARY,2016-02-29
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-03-01
58.311,-4.916,Snowy,Cool,ACHFARY,2016-03-02
58.311,-4.916,Heavy Rain,Cool,ACHFARY,2016-03-03
58.311,-4.916,Mild Rain,Cool,ACHFARY,2016-03-04
