station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,cs_24hr_sun_dur,wmo_24hr_sun_dur,conc_state_id,lying_snow_flag,snow_depth,frsh_snw_amt,snow_day_id,hail_day_id,thunder_day_flag,gale_day_flag,frsh_mnt_snwfall_flag,drv_24hr_sun_dur,lying_snow_ht,prcp_amt
FOULA,60.154,-2.074,Mild Rain,Cool,,7.925806451612903,3.8870967741935485,1.6774193548387097,,,,,,0.0,0.0,7.709677419354839,7.838709677419355,9.0,7.709677419354839,,,,4.806451612903226
FOULA,60.154,-2.074,Mild Rain,Cool,,8.914285714285715,4.378571428571428,2.4035714285714285,,,,,,0.03571428571428571,1.0,6.076923076923077,6.846153846153846,9.0,7.461538461538462,,,,7.078571428571428
FOULA,60.154,-2.074,Mild Rain,Cool,,7.470967741935484,3.2838709677419353,1.4451612903225806,,,,,,0.28,2.0,7.32258064516129,8.225806451612904,8.451612903225806,7.709677419354839,,,,4.770967741935484
FOULA,60.154,-2.074,Drizzle,Cool,,7.540000000000001,3.933333333333333,1.6166666666666667,,,,,,0.0,,6.6,7.666666666666667,9.0,8.466666666666667,,,,2.3466666666666667
FOULA,60.154,-2.074,Dry,Cool,,10.758064516129032,7.051612903225807,3.9709677419354836,,,,,,0.0,,8.741935483870968,8.806451612903226,9.0,9.0,,,,0.9774193548387097
FOULA,60.154,-2.074,Mild Rain,Cool,,11.336666666666668,7.776666666666667,4.65,,,,,,0.0,,9.0,9.0,8.466666666666667,8.733333333333333,,,,2.7666666666666666
FOULA,60.154,-2.074,Drizzle,Cool,,12.55483870967742,10.083870967741936,7.735483870967743,,,,,,0.0,,9.0,9.0,9.0,9.0,,,,2.2290322580645165
FOULA,60.154,-2.074,Mild Rain,Cool,,12.845161290322581,10.058064516129033,7.467741935483871,,,,,,0.0,,9.0,9.0,8.741935483870968,9.0,,,,3.851612903225807
FOULA,60.154,-2.074,Mild Rain,Cool,,13.253333333333334,10.4,7.83,,,,,,0.0,,9.0,9.0,9.0,9.0,,,,3.1
FOULA,60.154,-2.074,Mild Rain,Cool,,10.174193548387096,6.519354838709678,3.103225806451613,,,,,,0.0,,7.032258064516129,7.161290322580645,8.741935483870968,8.225806451612904,,,,4.496774193548387
FOULA,60.154,-2.074,Mild Rain,Cool,,8.45,4.569999999999999,1.1037037037037036,,,,,,0.0,0.0,6.592592592592593,7.666666666666667,9.0,8.407407407407407,,,,5.433333333333334
FOULA,60.154,-2.074,Mild Rain,Cool,,8.635483870967741,4.038709677419355,0.7774193548387096,,,,,,0.03225806451612903,0.3333333333333333,6.67741935483871,6.741935483870968,8.741935483870968,8.225806451612904,,,,5.52258064516129
RACKWICK,58.873,-3.387,Hail,Cool,,7.480645161290322,3.267741935483871,,,,,,,0.2903225806451613,,0.8709677419354839,1.5483870967741935,0.0,0.6451612903225806,,,,4.441935483870967
RACKWICK,58.873,-3.387,Snowy,Cool,,9.482142857142858,5.292857142857143,,,,,,,0.07142857142857142,2.0,1.2857142857142858,1.6428571428571428,0.6428571428571429,0.9642857142857143,,,,6.8500000000000005
RACKWICK,58.873,-3.387,Snowy,Cool,,7.870967741935484,3.425806451612903,,,,,,,0.3870967741935484,,1.6774193548387097,1.3225806451612903,0.0,1.1612903225806452,,,,4.170967741935484
RACKWICK,58.873,-3.387,Hail,Cool,,8.95,3.046666666666667,,,,,,,0.0,,1.2758620689655173,1.103448275862069,0.0,0.034482758620689655,,,,2.613333333333333
RACKWICK,58.873,-3.387,Drizzle,Cool,,12.35483870967742,6.312903225806452,,,,,,,0.0,,0.06666666666666667,0.5333333333333333,0.6,0.0,,,,1.3806451612903226
RACKWICK,58.873,-3.387,Mild Rain,Cool,,13.346666666666666,7.016666666666667,,,,,,,0.0,,0.0,0.0,0.04,0.0,,,,3.9033333333333338
RACKWICK,58.873,-3.387,Mild Rain,Cool,,14.296774193548387,10.158064516129034,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,4.312903225806451
RACKWICK,58.873,-3.387,Mild Rain,Cool,,14.474193548387097,10.519354838709678,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,3.2419354838709675
RACKWICK,58.873,-3.387,Mild Rain,Cool,,14.976666666666667,10.26,,,,,,,0.0,,0.0,0.0,0.0,0.03333333333333333,,,,3.2866666666666666
RACKWICK,58.873,-3.387,Mild Rain,Cool,,13.1875,7.2749999999999995,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,3.1
RACKWICK,58.873,-3.387,Hail,Cool,,8.378260869565217,3.960869565217391,,,,,,,0.0,,0.75,1.6666666666666667,0.0,0.041666666666666664,,,,10.776666666666667
RACKWICK,58.873,-3.387,Snowy,Cool,,8.422580645161291,3.509677419354839,,,,,,,0.14814814814814814,2.0,1.7407407407407407,2.6666666666666665,0.0,1.3333333333333333,,,,3.616129032258064
DUARTMORE BRIDGE,58.289,-5.072,Mild Rain,Cool,Partially Overcast,7.270967741935484,1.429032258064516,,,0.7193548387096774,,,,0.25806451612903225,,,,,,,,,5.816129032258065
DUARTMORE BRIDGE,58.289,-5.072,Heavy Rain,Cool,Partially Overcast,9.632142857142856,4.392857142857143,,,0.5607142857142857,,,,0.0,,,,,,,,,11.060714285714285
DUARTMORE BRIDGE,58.289,-5.072,Heavy Rain,Cool,Partially Overcast,8.24516129032258,2.0258064516129033,,,1.4741935483870967,,,,0.5769230769230769,,,,,0.0,,,,11.5
