month,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
2014-01-31,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2014-02-28,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2014-03-31,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2014-04-30,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2014-05-31,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2014-06-30,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2014-07-31,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2014-08-31,ACHFARY,58.311,-4.916,Heavy Rain,Mild,
2014-09-30,ACHFARY,58.311,-4.916,Mild Rain,Mild,
2014-10-31,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2014-11-30,ACHFARY,58.311,-4.916,Mild Rain,Cool,
2014-12-31,ACHFARY,58.311,-4.916,Heavy Rain,Cool,
2014-01-31,HUNTSHAM,50.953,-3.438,Mild Rain,Cool,
2014-02-28,HUNTSHAM,50.953,-3.438,Snowy,Cool,
2014-03-31,HUNTSHAM,50.953,-3.438,Drizzle,Cool,
2014-04-30,HUNTSHAM,50.953,-3.438,Mild Rain,Cool,
2014-05-31,HUNTSHAM,50.953,-3.438,Mild Rain,Mild,
2014-06-30,HUNTSHAM,50.953,-3.438,Mild Rain,Mild,
2014-07-31,HUNTSHAM,50.953,-3.438,Dry,Mild,
2014-08-31,HUNTSHAM,50.953,-3.438,Mild Rain,Mild,
2014-09-30,HUNTSHAM,50.953,-3.438,Dry,Mild,
2014-10-31,HUNTSHAM,50.953,-3.438,Mild Rain,Cool,
2014-11-30,HUNTSHAM,50.953,-3.438,Mild Rain,Cool,
2014-12-31,HUNTSHAM,50.953,-3.438,Mild Rain,Cool,
2014-01-31,STRATHY EAST,58.561,-3.992,Drizzle,Cool,Partially Overcast
2014-02-28,STRATHY EAST,58.561,-3.992,Mild Rain,Cool,Partially Overcast
2014-03-31,STRATHY EAST,58.561,-3.992,Drizzle,Cool,Sunny
2014-04-30,STRATHY EAST,58.561,-3.992,Drizzle,Cool,Sunny
2014-05-31,STRATHY EAST,58.561,-3.992,Drizzle,Cool,Sunny
2014-06-30,STRATHY EAST,58.561,-3.992,Mild Rain,Mild,Sunny
2014-07-31,STRATHY EAST,58.561,-3.992,Drizzle,Mild,Sunny
2014-08-31,STRATHY EAST,58.561,-3.992,Mild Rain,Mild,Sunny
2014-09-30,STRATHY EAST,58.561,-3.992,Drizzle,Mild,Sunny
2014-10-31,STRATHY EAST,58.561,-3.992,Mild Rain,Cool,Partially Overcast
2014-11-30,STRATHY EAST,58.561,-3.992,Drizzle,Cool,Partially Overcast
2014-12-31,STRATHY EAST,58.561,-3.992,Mild Rain,Cool,Partially Overcast
2014-01-31,POOLEWE,57.774,-5.597,Mild Rain,Cool,Partially Overcast
2014-02-28,POOLEWE,57.774,-5.597,Mild Rain,Cool,Partially Overcast
2014-03-31,POOLEWE,57.774,-5.597,Mild Rain,Cool,Sunny
2014-04-30,POOLEWE,57.774,-5.597,Mild Rain,Cool,Sunny
2014-05-31,POOLEWE,57.774,-5.597,Mild Rain,Cool,Sunny
2014-06-30,POOLEWE,57.774,-5.597,Drizzle,Mild,Partially Overcast
2014-07-31,POOLEWE,57.774,-5.597,Drizzle,Mild,Sunny
2014-08-31,POOLEWE,57.774,-5.597,Heavy Rain,Mild,Sunny
2014-09-30,POOLEWE,57.774,-5.597,Drizzle,Mild,Sunny
2014-10-31,POOLEWE,57.774,-5.597,Heavy Rain,Cool,Partially Overcast
2014-11-30,POOLEWE,57.774,-5.597,Mild Rain,Cool,Partially Overcast
2014-12-31,POOLEWE,57.774,-5.597,Heavy Rain,Cool,Partially Overcast
2014-01-31,PLOCKTON,57.337,-5.653,Mild Rain,Cool,
2014-02-28,PLOCKTON,57.337,-5.653,Heavy Rain,Cool,
2014-03-31,PLOCKTON,57.337,-5.653,Mild Rain,Cool,
2014-04-30,PLOCKTON,57.337,-5.653,Dry,,
2014-05-31,PLOCKTON,57.337,-5.653,Mild Rain,Cool,
2014-06-30,PLOCKTON,57.337,-5.653,Drizzle,Mild,
2014-07-31,PLOCKTON,57.337,-5.653,Mild Rain,Mild,
2014-08-31,PLOCKTON,57.337,-5.653,Mild Rain,Mild,
2014-09-30,PLOCKTON,57.337,-5.653,Drizzle,Mild,
2014-10-31,PLOCKTON,57.337,-5.653,Heavy Rain,Cool,
2014-11-30,PLOCKTON,57.337,-5.653,Mild Rain,Cool,
2014-12-31,PLOCKTON,57.337,-5.653,Mild Rain,Cool,
2014-01-31,INVERAILORT,56.872,-5.67,Heavy Rain,Cool,
2014-02-28,INVERAILORT,56.872,-5.67,Hail,Cool,
2014-03-31,INVERAILORT,56.872,-5.67,Heavy Rain,Cool,
2014-04-30,INVERAILORT,56.872,-5.67,Mild Rain,Mild,
2014-05-31,INVERAILORT,56.872,-5.67,Mild Rain,Mild,
2014-06-30,INVERAILORT,56.872,-5.67,Drizzle,Mild,
2014-07-31,INVERAILORT,56.872,-5.67,Mild Rain,Mild,
2014-08-31,INVERAILORT,56.872,-5.67,Heavy Rain,Mild,
2014-09-30,INVERAILORT,56.872,-5.67,Drizzle,Mild,
2014-10-31,INVERAILORT,56.872,-5.67,Heavy Rain,Cool,
2014-11-30,INVERAILORT,56.872,-5.67,Heavy Rain,Cool,
2014-12-31,INVERAILORT,56.872,-5.67,Dry,Cool,
2014-01-31,"BANFF, GOLF CLUB",57.661,-2.521,Drizzle,Cool,
2014-02-28,"BANFF, GOLF CLUB",57.661,-2.521,Drizzle,Cool,
2014-03-31,"BANFF, GOLF CLUB",57.661,-2.521,Dry,Cool,
2014-04-30,"BANFF, GOLF CLUB",57.661,-2.521,Drizzle,Cool,
2014-05-31,"BANFF, GOLF CLUB",57.661,-2.521,Drizzle,Cool,
2014-06-30,"BANFF, GOLF CLUB",57.661,-2.521,Drizzle,Mild,
2014-07-31,"BANFF, GOLF CLUB",57.661,-2.521,Drizzle,Mild,
2014-08-31,"BANFF, GOLF CLUB",57.661,-2.521,Mild Rain,Mild,
2014-09-30,"BANFF, GOLF CLUB",57.661,-2.521,Drizzle,Mild,
2014-10-31,"BANFF, GOLF CLUB",57.661,-2.521,Mild Rain,Cool,
2014-11-30,"BANFF, GOLF CLUB",57.661,-2.521,Mild Rain,Cool,
2014-12-31,"BANFF, GOLF CLUB",57.661,-2.521,Drizzle,Cool,
2014-01-31,DURRIS,57.032,-2.404,Heavy Rain,Cool,Partially Overcast
2014-02-28,DURRIS,57.032,-2.404,Mild Rain,Cool,Partially Overcast
2014-03-31,DURRIS,57.032,-2.404,Drizzle,Cool,Sunny
2014-04-30,DURRIS,57.032,-2.404,Drizzle,Cool,Sunny
2014-05-31,DURRIS,57.032,-2.404,Drizzle,Cool,Sunny
2014-06-30,DURRIS,57.032,-2.404,Drizzle,Mild,Sunny
2014-07-31,DURRIS,57.032,-2.404,Drizzle,Mild,Sunny
2014-08-31,DURRIS,57.032,-2.404,Mild Rain,Mild,Sunny
2014-09-30,DURRIS,57.032,-2.404,Drizzle,Mild,Sunny
2014-10-31,DURRIS,57.032,-2.404,Mild Rain,Cool,Partially Overcast
2014-11-30,DURRIS,57.032,-2.404,Heavy Rain,Cool,Partially Overcast
2014-12-31,DURRIS,57.032,-2.404,Dry,Cool,Partially Overcast
2014-01-31,MYLNEFIELD,56.456,-3.07,Mild Rain,Cool,Partially Overcast
2014-02-28,MYLNEFIELD,56.456,-3.07,Mild Rain,Cool,Partially Overcast
2014-03-31,MYLNEFIELD,56.456,-3.07,Drizzle,Cool,Sunny
2014-04-30,MYLNEFIELD,56.456,-3.07,Drizzle,Cool,Sunny
2014-05-31,MYLNEFIELD,56.456,-3.07,Drizzle,Mild,Sunny
2014-06-30,MYLNEFIELD,56.456,-3.07,Mild Rain,Mild,Sunny
2014-07-31,MYLNEFIELD,56.456,-3.07,Drizzle,Mild,Sunny
2014-08-31,MYLNEFIELD,56.456,-3.07,Mild Rain,Mild,Sunny
2014-09-30,MYLNEFIELD,56.456,-3.07,Dry,Mild,Sunny
2014-10-31,MYLNEFIELD,56.456,-3.07,Mild Rain,Cool,Partially Overcast
2014-11-30,MYLNEFIELD,56.456,-3.07,Mild Rain,Cool,Partially Overcast
2014-12-31,MYLNEFIELD,56.456,-3.07,Drizzle,Cool,Partially Overcast
2014-01-31,ARDTALNAIG,56.528,-4.112,Heavy Rain,Cool,Partially Overcast
2014-02-28,ARDTALNAIG,56.528,-4.112,Heavy Rain,Cool,Partially Overcast
2014-03-31,ARDTALNAIG,56.528,-4.112,Mild Rain,Cool,Partially Overcast
2014-04-30,ARDTALNAIG,56.528,-4.112,Mild Rain,Cool,Sunny
