date,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
1931-01-01,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-01-02,BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Partially Overcast
1931-01-03,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-01-04,BALTASOUND,60.759,-0.888,Drizzle,Cool,Partially Overcast
1931-01-05,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-01-06,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-01-07,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-01-08,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-01-09,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-01-10,BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Partially Overcast
1931-01-11,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-01-12,BALTASOUND,60.759,-0.888,Drizzle,Cool,Partially Overcast
1931-01-13,BALTASOUND,60.759,-0.888,Drizzle,Cold,Partially Overcast
1931-01-14,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-01-15,BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Partially Overcast
1931-01-16,BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Partially Overcast
1931-01-17,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-01-18,BALTASOUND,60.759,-0.888,Drizzle,Cold,Partially Overcast
1931-01-19,BALTASOUND,60.759,-0.888,Drizzle,Cold,Partially Overcast
1931-01-20,BALTASOUND,60.759,-0.888,Drizzle,Cool,Partially Overcast
1931-01-21,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-01-22,BALTASOUND,60.759,-0.888,Drizzle,Cool,Partially Overcast
1931-01-23,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-01-24,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-01-25,BALTASOUND,60.759,-0.888,Drizzle,Cool,Partially Overcast
1931-01-26,BALTASOUND,60.759,-0.888,Drizzle,Cold,Partially Overcast
1931-01-27,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Partially Overcast
1931-01-28,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-01-29,BALTASOUND,60.759,-0.888,Drizzle,Cold,Partially Overcast
1931-01-30,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Sunny
1931-01-31,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-02-01,BALTASOUND,60.759,-0.888,Heavy Rain,Cold,Partially Overcast
1931-02-02,BALTASOUND,60.759,-0.888,Heavy Rain,Cold,Partially Overcast
1931-02-03,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-02-04,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Partially Overcast
1931-02-05,BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Partially Overcast
1931-02-06,BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Partially Overcast
1931-02-07,BALTASOUND,60.759,-0.888,Drizzle,Cool,Partially Overcast
1931-02-08,BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Partially Overcast
1931-02-09,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-02-10,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-02-11,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-02-12,BALTASOUND,60.759,-0.888,Heavy Rain,Cold,Partially Overcast
1931-02-13,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-02-14,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Partially Overcast
1931-02-15,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Partially Overcast
1931-02-16,BALTASOUND,60.759,-0.888,Dry,Cold,Sunny
1931-02-17,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-02-18,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-02-19,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-02-20,BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Partially Overcast
1931-02-21,BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Partially Overcast
1931-02-22,BALTASOUND,60.759,-0.888,Heavy Rain,Cold,Sunny
1931-02-23,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Partially Overcast
1931-02-24,BALTASOUND,60.759,-0.888,Drizzle,Freezing,Partially Overcast
1931-02-25,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-02-26,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Partially Overcast
1931-02-27,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-02-28,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Partially Overcast
1931-03-01,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-03-02,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Sunny
1931-03-03,BALTASOUND,60.759,-0.888,Drizzle,Cold,Sunny
1931-03-04,BALTASOUND,60.759,-0.888,Drizzle,Cold,Partially Overcast
1931-03-05,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Sunny
1931-03-06,BALTASOUND,60.759,-0.888,Dry,Cold,Sunny
1931-03-07,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-03-08,BALTASOUND,60.759,-0.888,Dry,Cold,Sunny
1931-03-09,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-03-10,BALTASOUND,60.759,-0.888,Dry,Cold,Sunny
1931-03-11,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-03-12,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Sunny
1931-03-13,BALTASOUND,60.759,-0.888,Drizzle,Cold,Sunny
1931-03-14,BALTASOUND,60.759,-0.888,Drizzle,Cold,Sunny
1931-03-15,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Sunny
1931-03-16,BALTASOUND,60.759,-0.888,Dry,Freezing,Sunny
1931-03-17,BALTASOUND,60.759,-0.888,Drizzle,Cold,Partially Overcast
1931-03-18,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-03-19,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-03-20,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-03-21,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-03-22,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-03-23,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-03-24,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-03-25,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-03-26,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-03-27,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-03-28,BALTASOUND,60.759,-0.888,Drizzle,Cool,Partially Overcast
1931-03-29,BALTASOUND,60.759,-0.888,Dry,Cold,Partially Overcast
1931-03-30,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-03-31,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-04-01,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-04-02,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-04-03,BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Sunny
1931-04-04,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-04-05,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-04-06,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-04-07,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-04-08,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-04-09,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-04-10,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-04-11,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-04-12,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-04-13,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-04-14,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-04-15,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-04-16,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-04-17,BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny
1931-04-18,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-04-19,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-04-20,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-04-21,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-04-22,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-04-23,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-04-24,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-04-25,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-04-26,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-04-27,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-04-28,BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny
1931-04-29,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-04-30,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-05-01,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-05-02,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-05-03,BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny
1931-05-04,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-05-05,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-05-06,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-05-07,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-05-08,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-05-09,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-05-10,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-05-11,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1931-05-12,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1931-05-13,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-05-14,BALTASOUND,60.759,-0.888,Drizzle,Cool,Sunny
1931-05-15,BALTASOUND,60.759,-0.888,Drizzle,Cool,Partially Overcast
1931-05-16,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-05-17,BALTASOUND,60.759,-0.888,Heavy Rain,Cool,Sunny
1931-05-18,BALTASOUND,60.759,-0.888,Dry,Cool,Sunny
1931-05-19,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
1931-05-20,BALTASOUND,60.759,-0.888,Dry,Cool,Partially Overcast
