station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,cs_24hr_sun_dur,wmo_24hr_sun_dur,conc_state_id,lying_snow_flag,snow_depth,frsh_snw_amt,snow_day_id,hail_day_id,thunder_day_flag,gale_day_flag,frsh_mnt_snwfall_flag,drv_24hr_sun_dur,lying_snow_ht,prcp_amt,meto_stmp_time
HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Partially Overcast,5.603225806451612,2.225806451612903,,,1.0096774193548388,,,,0.45161290322580644,0.2903225806451613,,,,,,,,5.816129032258064,
HAMNAVOE,60.104,-1.333,Drizzle,Cool,Partially Overcast,6.482142857142857,3.3964285714285714,,,1.2678571428571428,,,,0.2857142857142857,0.2857142857142857,,,,,,,,1.3,
HAMNAVOE,60.104,-1.333,Drizzle,Cool,Sunny,5.909677419354839,1.9806451612903226,,,3.7419354838709675,,,,0.5806451612903226,0.25806451612903225,,,,,,,,1.9516129032258065,
HAMNAVOE,60.104,-1.333,Drizzle,Cool,Sunny,8.55,4.21,,,5.3066666666666675,,,,0.0,0.0,,,,,,,,2.32,
HAMNAVOE,60.104,-1.333,Drizzle,Cool,Sunny,9.83548387096774,5.787096774193548,,,3.9451612903225803,,,,0.0,0.0,,,,,,,,1.3838709677419354,
HAMNAVOE,60.104,-1.333,Drizzle,Cool,Sunny,13.006666666666666,8.676666666666668,,,4.4766666666666675,,,,0.0,0.0,,,,,,,,1.79,
HAMNAVOE,60.104,-1.333,Dry,Cool,Sunny,13.05483870967742,8.332258064516129,,,6.496774193548387,,,,0.0,0.0,,,,,,,,0.48709677419354835,
HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Sunny,13.774193548387096,10.09032258064516,,,4.012903225806451,,,,0.0,0.0,,,,,,,,2.7419354838709675,
HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Sunny,13.226666666666667,9.436666666666667,,,3.4366666666666665,,,,0.0,0.0,,,,,,,,3.2333333333333334,
HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Partially Overcast,11.764516129032257,8.593548387096776,,,2.7419354838709675,,,,0.0,0.0,,,,,,,,3.329032258064516,
HAMNAVOE,60.104,-1.333,Mild Rain,Cool,Partially Overcast,5.96,2.3766666666666665,,,0.9600000000000001,,,,2.0,1.3666666666666667,,,,,,,,2.8366666666666664,
HAMNAVOE,60.104,-1.333,Mild Rain,Cold,Partially Overcast,4.735483870967743,1.0806451612903225,,,0.7387096774193548,,,,1.6129032258064515,0.8064516129032258,,,,,,,,5.254838709677419,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast,5.083333333333333,0.6387096774193547,,,0.6193548387096774,,,,0.1935483870967742,0.1935483870967742,,,,,,,,6.429032258064517,
BALTASOUND,60.759,-0.888,Drizzle,Cool,Partially Overcast,6.335714285714286,2.5892857142857144,,,0.6821428571428572,,,,0.35714285714285715,0.35714285714285715,,,,,,,,1.8821428571428573,
BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast,5.538709677419355,0.3,,,2.4096774193548387,,,,3.0,0.45161290322580644,,,,,,,,3.019354838709677,
